track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
9,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.4%,3.533,4.533,1.0,18.0
10,Car / Sedan,2,Sedan / jeep / station wagon,normal,56.8%,4.733,5.733,1.0,18.0
12,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,82.9%,8.467,7.3,1.167,15.4
17,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.4%,7.8,8.833,1.033,17.4
29,Car / Sedan,2,Sedan / jeep / station wagon,normal,47.6%,9.433,10.433,1.0,18.0
27,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.1%,10.633,9.6,1.033,17.4
34,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.1%,10.2,11.167,0.967,18.6
35,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.4%,10.6,11.533,0.933,19.3
31,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.2%,11.9,10.9,1.0,18.0
40,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.7%,11.433,12.333,0.9,20.0
47,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.2%,14.533,15.333,0.8,22.5
50,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,81.5%,15.933,15.033,0.9,20.0
58,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.0%,17.033,17.967,0.933,19.3
63,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.4%,17.933,17.067,0.867,20.8
71,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.6%,21.467,22.433,0.967,18.6
81,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.7%,25.633,26.733,1.1,16.4
87,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.4%,26.667,27.733,1.067,16.9
88,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.5%,27.933,29.0,1.067,16.9
86,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,88.8%,29.367,31.367,2.0,9.0
97,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.0%,29.8,30.8,1.0,18.0
98,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.2%,30.8,29.867,0.933,19.3
105,3-Axle Truck (Jumbo),7,3-Axle Truck,normal,83.3%,31.467,33.5,2.033,8.9
106,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.2%,31.733,32.767,1.033,17.4
111,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.2%,32.667,33.733,1.067,16.9
118,Car / Sedan,2,Sedan / jeep / station wagon,normal,52.6%,34.033,35.167,1.133,15.9
132,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.1%,34.233,36.0,1.767,10.2
120,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.1%,34.433,36.233,1.8,10.0
139,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.1%,35.967,35.033,0.933,19.3
145,Car / Sedan,2,Sedan / jeep / station wagon,normal,38.8%,35.467,36.833,1.367,13.2
140,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.3%,37.333,35.867,1.467,12.3
149,Car / Sedan,2,Sedan / jeep / station wagon,normal,50.0%,36.3,37.633,1.333,13.5
156,Bus,5,Bus,normal,75.2%,37.0,38.367,1.367,13.2
166,Car / Sedan,2,Sedan / jeep / station wagon,normal,33.4%,39.567,40.967,1.4,12.9
170,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.5%,40.1,41.733,1.633,11.0
179,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.0%,42.767,44.333,1.567,11.5
180,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,90.0%,44.233,43.133,1.1,16.4
190,Car / Sedan,2,Sedan / jeep / station wagon,normal,56.7%,45.6,46.967,1.367,13.2
189,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.3%,46.467,45.7,0.767,23.5
195,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.0%,48.933,50.067,1.133,15.9
200,Public Transportation (Angkot),3,Medium passenger vehicle,normal,70.5%,50.0,51.5,1.5,12.0
196,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.9%,50.933,50.033,0.9,20.0
199,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.2%,50.267,51.1,0.833,21.6
211,Bus,5,Bus,normal,47.6%,53.233,54.033,0.8,22.5
216,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,63.1%,54.567,57.067,2.5,7.2
214,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,81.7%,56.1,55.067,1.033,17.4
231,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.8%,58.1,59.2,1.1,16.4
240,Car / Sedan,2,Sedan / jeep / station wagon,normal,52.6%,58.633,59.467,0.833,21.6
248,Public Transportation (Angkot),3,Medium passenger vehicle,normal,64.7%,59.067,60.167,1.1,16.4
251,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.1%,59.6,60.467,0.867,20.8
255,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.2%,60.167,61.2,1.033,17.4
270,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.9%,61.733,62.967,1.233,14.6
271,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.7%,61.833,62.7,0.867,20.8
264,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,61.1%,63.033,61.833,1.2,15.0
274,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,47.7%,63.867,65.267,1.4,12.9
292,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.1%,65.367,66.467,1.1,16.4
295,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.3%,66.933,65.833,1.1,16.4
298,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,80.8%,66.5,67.567,1.067,16.9
293,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,84.7%,68.4,66.533,1.867,9.6
315,Car / Sedan,2,Sedan / jeep / station wagon,normal,31.6%,67.633,68.467,0.833,21.6
311,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.1%,67.7,68.967,1.267,14.2
326,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,85.3%,69.867,71.267,1.4,12.9
340,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,63.4%,72.9,72.033,0.867,20.8
347,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.0%,72.533,73.233,0.7,25.7
362,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.7%,83.267,84.233,0.967,18.6
378,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.4%,88.067,88.867,0.8,22.5
382,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.0%,88.933,89.9,0.967,18.6
383,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,83.3%,90.867,91.767,0.9,20.0
390,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.1%,90.867,91.6,0.733,24.5
399,Car / Sedan,2,Sedan / jeep / station wagon,normal,43.9%,93.367,94.233,0.867,20.8
404,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.2%,94.833,94.133,0.7,25.7
426,Car / Sedan,2,Sedan / jeep / station wagon,normal,83.3%,100.0,100.533,0.533,33.8
431,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,86.6%,102.467,103.8,1.333,13.5
446,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,42.1%,107.967,109.2,1.233,14.6
445,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.5%,108.133,109.1,0.967,18.6
475,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,90.1%,113.267,112.733,0.533,33.7
477,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.4%,112.933,113.567,0.633,28.4
479,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,66.6%,114.567,113.433,1.133,15.9
484,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,50.1%,115.033,116.1,1.067,16.9
517,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.2%,120.9,121.733,0.833,21.6
525,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,84.2%,126.233,127.533,1.3,13.8
528,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,91.2%,129.4,127.5,1.9,9.5
537,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.4%,130.733,129.933,0.8,22.5
540,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.2%,130.5,131.367,0.867,20.8
542,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.4%,132.2,133.0,0.8,22.5
545,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.3%,134.033,133.1,0.933,19.3
556,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,89.3%,139.233,141.867,2.633,6.8
576,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,66.5%,142.9,143.733,0.833,21.6
584,Public Transportation (Angkot),3,Medium passenger vehicle,normal,73.9%,145.933,146.767,0.833,21.6
585,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,86.9%,146.8,147.8,1.0,18.0
601,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,90.6%,147.867,147.2,0.667,27.0
602,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,87.8%,147.733,149.267,1.533,11.7
628,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,76.4%,153.433,151.1,2.333,7.7
638,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.0%,152.2,151.333,0.867,20.8
690,Car / Sedan,2,Sedan / jeep / station wagon,normal,59.5%,154.267,155.367,1.1,16.4
