track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
8,Car / Sedan,2,Sedan / jeep / station wagon,normal,43.4%,1.75,0.15,1.6,11.3
6,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.3%,0.25,1.7,1.45,12.4
4,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,0.6,2.3,1.7,10.6
57,Car / Sedan,2,Sedan / jeep / station wagon,opposite,50.1%,2.1,3.55,1.45,12.4
111,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,3.35,4.4,1.05,17.1
204,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.9%,3.75,4.8,1.05,17.1
139,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.0%,4.25,5.7,1.45,12.4
405,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.1%,6.0,7.0,1.0,18.0
363,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.3%,6.2,7.65,1.45,12.4
626,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.4%,8.65,9.399,0.75,24.0
612,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.2%,9.0,10.45,1.45,12.4
691,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.6%,9.499,10.55,1.05,17.1
793,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,10.399,11.499,1.1,16.4
963,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,12.449,13.349,0.9,20.0
921,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,12.749,14.049,1.3,13.8
1134,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.2%,17.749,13.999,3.75,4.8
1162,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,15.399,16.899,1.5,12.0
1336,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,15.749,16.999,1.25,14.4
1439,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,17.099,18.149,1.05,17.1
1368,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.4%,19.149,17.699,1.45,12.4
1457,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.7%,17.749,19.049,1.3,13.8
1839,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,21.249,22.699,1.45,12.4
1950,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.9%,23.699,22.349,1.35,13.3
1983,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,22.699,23.799,1.1,16.4
2346,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.5%,27.149,28.299,1.15,15.7
2444,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,27.699,28.449,0.75,24.0
2345,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.6%,29.799,28.649,1.15,15.7
2474,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,28.699,29.849,1.15,15.7
2570,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.4%,29.248,29.998,0.75,24.0
2889,Car / Sedan,2,Sedan / jeep / station wagon,opposite,58.6%,32.498,33.548,1.05,17.1
2873,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,60.4%,36.198,32.698,3.5,5.1
3179,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.6%,36.998,38.698,1.7,10.6
3463,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,45.1%,41.598,38.048,3.55,5.1
3573,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,38.898,39.998,1.1,16.4
3570,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.3%,40.898,39.548,1.35,13.3
3753,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,40.898,41.798,0.9,20.0
4025,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,43.148,43.798,0.65,27.7
3816,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.7%,44.698,43.398,1.3,13.8
4097,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.7%,44.448,45.648,1.2,15.0
4395,Car / Sedan,2,Sedan / jeep / station wagon,normal,68.1%,48.348,47.098,1.25,14.4
