track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
35,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.3%,2.667,3.267,0.6,30.0
63,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,85.4%,4.433,3.833,0.6,30.0
98,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.0%,4.5,5.1,0.6,30.0
142,Bus,5,Bus,normal,79.7%,5.633,6.233,0.6,30.0
108,Bus,5,Bus,opposite,81.2%,6.967,6.233,0.733,24.5
144,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.5%,7.7,7.167,0.533,33.8
330,Car / Sedan,2,Sedan / jeep / station wagon,normal,46.8%,11.3,11.9,0.6,30.0
288,Car / Sedan,2,Sedan / jeep / station wagon,opposite,68.7%,12.267,11.467,0.8,22.5
364,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.2%,13.1,13.7,0.6,30.0
403,Car / Sedan,2,Sedan / jeep / station wagon,normal,54.7%,14.667,15.167,0.5,36.0
415,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,47.1%,17.367,16.3,1.067,16.9
464,Car / Sedan,2,Sedan / jeep / station wagon,normal,56.0%,17.167,17.7,0.533,33.8
535,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,79.9%,19.5,20.233,0.733,24.5
519,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.2%,20.767,20.033,0.733,24.5
592,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,89.3%,21.233,21.833,0.6,30.0
595,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.7%,25.2,22.7,2.5,7.2
666,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.5%,27.167,24.667,2.5,7.2
690,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,38.4%,25.367,25.933,0.567,31.8
719,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,45.4%,26.233,27.833,1.6,11.2
796,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.7%,27.933,28.533,0.6,30.0
797,Public Transportation (Angkot),3,Medium passenger vehicle,normal,87.1%,28.333,28.933,0.6,30.0
786,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.4%,31.2,28.7,2.5,7.2
809,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.5%,31.967,29.467,2.5,7.2
837,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.2%,31.167,30.633,0.533,33.7
926,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,83.9%,35.067,35.667,0.6,30.0
945,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,52.3%,36.133,36.967,0.833,21.6
938,Car / Sedan,2,Sedan / jeep / station wagon,opposite,47.6%,36.8,36.167,0.633,28.4
959,Public Transportation (Angkot),3,Medium passenger vehicle,normal,89.5%,36.333,36.933,0.6,30.0
978,Public Transportation (Angkot),3,Medium passenger vehicle,normal,74.3%,37.3,37.833,0.533,33.8
1004,Car / Sedan,2,Sedan / jeep / station wagon,opposite,70.6%,39.067,38.5,0.567,31.8
1023,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.3%,38.9,39.467,0.567,31.8
1001,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,79.6%,39.833,38.9,0.933,19.3
1054,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,87.4%,42.733,41.333,1.4,12.9
1142,Car / Sedan,2,Sedan / jeep / station wagon,normal,68.3%,42.7,43.0,0.3,60.0
1185,Car / Sedan,2,Sedan / jeep / station wagon,normal,44.3%,44.1,44.633,0.533,33.8
1225,Public Transportation (Angkot),3,Medium passenger vehicle,normal,75.0%,44.267,44.867,0.6,30.0
1299,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.1%,46.8,47.367,0.567,31.8
1286,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,82.5%,48.2,47.433,0.767,23.5
1300,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,87.7%,48.067,47.467,0.6,30.0
1326,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.0%,47.767,48.267,0.5,36.0
1308,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,63.4%,50.033,49.033,1.0,18.0
1390,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,57.8%,50.667,51.367,0.7,25.7
1478,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.5%,53.7,54.3,0.6,30.0
1503,Car / Sedan,2,Sedan / jeep / station wagon,normal,68.9%,54.967,55.467,0.5,36.0
1507,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.7%,55.967,55.333,0.633,28.4
1502,Bus,5,Bus,opposite,92.7%,56.667,55.867,0.8,22.5
1513,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,47.1%,56.0,57.067,1.067,16.9
