track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
28,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,1.95,3.5,1.55,11.6
27,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,2.0,3.25,1.25,14.4
39,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.9%,2.65,3.8,1.15,15.7
47,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,88.0%,3.2,4.4,1.2,15.0
57,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,4.0,4.95,0.95,18.9
76,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,4.85,5.9,1.05,17.1
85,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.3%,5.7,6.7,1.0,18.0
95,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.2%,6.85,7.8,0.95,18.9
106,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.1%,23.949,7.4,16.549,1.1
114,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,54.9%,8.05,9.05,1.0,18.0
113,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,8.2,8.95,0.75,24.0
126,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,9.05,9.85,0.8,22.5
140,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,9.45,10.1,0.65,27.7
134,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.6%,9.8,10.749,0.95,18.9
154,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,10.3,10.899,0.6,30.0
179,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,93.8%,11.599,12.499,0.9,20.0
221,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.8%,13.049,13.949,0.9,20.0
229,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.5%,13.949,13.049,0.9,20.0
261,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,64.4%,16.499,15.099,1.4,12.9
267,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,15.149,15.749,0.6,30.0
264,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,15.799,16.349,0.55,32.7
278,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.2%,16.199,16.949,0.75,24.0
285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.6%,16.599,17.149,0.55,32.7
299,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,17.399,18.049,0.65,27.7
44,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,21.249,21.999,0.75,24.0
58,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,21.849,22.549,0.7,25.7
71,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,22.749,23.549,0.8,22.5
72,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,22.999,36.848,13.849,1.3
86,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.0%,23.449,25.299,1.85,9.7
112,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,24.699,25.599,0.9,20.0
161,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.1%,26.249,26.999,0.75,24.0
184,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,27.099,27.699,0.6,30.0
214,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,28.949,29.748,0.8,22.5
230,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,29.648,30.148,0.5,36.0
