track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
118,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,15.048,15.698,0.65,27.7
34,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.2%,21.497,22.497,1.0,18.0
51,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.5%,22.747,23.347,0.6,30.0
73,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.8%,24.147,24.847,0.7,25.7
94,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,25.447,26.147,0.7,25.7
100,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.3%,27.047,26.197,0.85,21.2
103,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,26.447,27.097,0.65,27.7
129,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,27.997,28.746,0.75,24.0
203,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.8%,32.396,33.396,1.0,18.0
251,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,32.696,33.796,1.1,16.4
263,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,33.346,34.146,0.8,22.5
274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,33.646,34.346,0.7,25.7
276,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,34.396,35.296,0.9,20.0
290,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,35.046,35.896,0.85,21.2
18,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.3%,37.145,37.995,0.85,21.2
20,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,93.7%,37.795,38.795,1.0,18.0
42,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,87.1%,38.345,39.145,0.8,22.5
57,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,39.295,40.395,1.1,16.4
70,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,39.695,40.645,0.95,18.9
78,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,40.195,40.945,0.75,24.0
80,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,93.1%,40.645,41.695,1.05,17.1
173,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.7%,43.445,44.294,0.85,21.2
189,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.6%,43.795,44.344,0.55,32.7
245,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.9%,48.844,46.494,2.35,7.7
248,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,46.694,47.544,0.85,21.2
79,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,52.993,54.243,1.25,14.4
86,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.2%,53.593,54.293,0.7,25.7
120,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.1%,54.843,55.443,0.6,30.0
146,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.7%,55.693,56.643,0.95,18.9
124,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,61.692,62.392,0.7,25.7
155,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.4%,63.042,64.092,1.05,17.1
257,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,66.242,67.292,1.05,17.1
371,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.3%,68.442,69.441,1.0,18.0
157,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,70.691,71.291,0.6,30.0
243,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,73.441,74.541,1.1,16.4
327,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.4%,74.841,75.741,0.9,20.0
365,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,75.691,76.591,0.9,20.0
67,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,77.8%,85.189,83.34,1.85,9.7
924,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,96.038,96.738,0.7,25.7
1883,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,111.736,112.436,0.7,25.7
2275,Public Transportation (Angkot),3,Medium passenger vehicle,normal,86.4%,119.385,117.985,1.4,12.9
2486,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.3%,120.585,121.235,0.65,27.7
2517,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.2%,121.035,121.535,0.5,36.0
2858,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.4%,127.234,126.634,0.6,30.0
3100,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,130.934,131.534,0.6,30.0
3979,Public Transportation (Angkot),3,Medium passenger vehicle,normal,64.4%,147.282,146.432,0.85,21.2
4448,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.8%,154.431,153.931,0.5,36.0
5010,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,76.1%,163.68,162.83,0.85,21.2
5181,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.4%,165.03,167.579,2.55,7.1
5352,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,168.329,167.429,0.9,20.0
