track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
68,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.3%,3.6,3.85,0.25,72.0
69,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,3.6,3.85,0.25,72.0
85,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,4.4,4.55,0.15,120.0
72,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,4.55,4.9,0.35,51.4
94,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,5.1,5.3,0.2,90.0
120,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.1%,5.7,5.9,0.2,90.0
130,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.8%,6.4,6.65,0.25,72.0
235,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,10.949,11.399,0.45,40.0
226,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,10.999,11.399,0.4,45.0
246,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,11.799,12.049,0.25,72.0
299,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,13.949,14.249,0.3,60.0
306,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,14.349,14.649,0.3,60.0
321,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,15.349,15.649,0.3,60.0
354,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,16.249,16.449,0.2,90.0
349,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,16.549,16.799,0.25,72.0
377,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.0%,17.849,18.049,0.2,90.0
404,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,19.399,19.649,0.25,72.0
462,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,21.099,21.299,0.2,90.0
435,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,21.299,21.749,0.45,40.0
573,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,24.798,24.998,0.2,90.0
601,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.4%,25.948,26.098,0.15,120.0
621,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,26.948,27.248,0.3,60.0
658,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.4%,28.498,28.698,0.2,90.0
693,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,31.148,31.398,0.25,72.0
741,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,33.648,33.948,0.3,60.0
768,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.0%,34.648,34.898,0.25,72.0
769,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.9%,35.048,35.348,0.3,60.0
827,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,36.148,36.398,0.25,72.0
837,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,36.348,36.598,0.25,72.0
860,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,37.048,37.297,0.25,72.0
856,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,85.1%,37.998,38.447,0.45,40.0
920,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.0%,38.697,38.947,0.25,72.0
963,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,39.447,39.647,0.2,90.0
953,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.0%,39.597,39.897,0.3,60.0
998,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,41.447,41.647,0.2,90.0
