track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
1,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.8%,1.867,0.533,1.333,13.5
33,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.2%,2.533,1.533,1.0,18.0
62,Car / Sedan,2,Sedan / jeep / station wagon,normal,28.2%,1.9,2.967,1.067,16.9
188,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.0%,9.6,10.667,1.067,16.9
212,Bus,5,Bus,normal,57.0%,11.333,12.4,1.067,16.9
343,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.9%,19.133,17.533,1.6,11.3
407,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.1%,19.567,20.7,1.133,15.9
431,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,86.8%,22.633,21.6,1.033,17.4
494,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,85.5%,23.367,25.367,2.0,9.0
528,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.1%,27.433,25.667,1.767,10.2
616,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.2%,29.567,28.5,1.067,16.9
643,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,83.6%,29.933,31.567,1.633,11.0
873,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.5%,40.433,39.333,1.1,16.4
906,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,81.3%,42.3,40.867,1.433,12.6
946,Public Transportation (Angkot),3,Medium passenger vehicle,normal,73.3%,43.1,44.367,1.267,14.2
1036,Bus,5,Bus,normal,71.4%,47.367,48.867,1.5,12.0
1097,Car / Sedan,2,Sedan / jeep / station wagon,normal,33.3%,49.433,50.533,1.1,16.4
1146,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.5%,51.033,52.267,1.233,14.6
1179,Car / Sedan,2,Sedan / jeep / station wagon,normal,62.0%,51.933,53.467,1.533,11.7
1338,Public Transportation (Angkot),3,Medium passenger vehicle,normal,62.6%,60.533,61.733,1.2,15.0
1456,Public Transportation (Angkot),3,Medium passenger vehicle,normal,43.9%,66.067,67.0,0.933,19.3
1470,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.6%,66.733,67.633,0.9,20.0
1458,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,68.733,67.3,1.433,12.6
1611,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.3%,77.167,75.767,1.4,12.9
1693,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,66.0%,81.133,84.067,2.933,6.1
1748,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.4%,84.267,83.567,0.7,25.7
1707,3-Axle Truck (Jumbo),7,3-Axle Truck,normal,54.0%,84.967,87.933,2.967,6.1
1768,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,37.4%,85.467,86.833,1.367,13.2
1819,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,56.8%,87.967,89.8,1.833,9.8
1894,Car / Sedan,2,Sedan / jeep / station wagon,normal,27.4%,90.567,91.533,0.967,18.6
1903,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,62.9%,92.233,94.133,1.9,9.5
1950,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,36.7%,94.1,95.8,1.7,10.6
2016,Public Transportation (Angkot),3,Medium passenger vehicle,normal,75.4%,97.733,98.967,1.233,14.6
2135,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.8%,104.933,103.8,1.133,15.9
2334,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,86.7%,112.733,114.3,1.567,11.5
2436,Car / Sedan,2,Sedan / jeep / station wagon,normal,36.5%,115.1,116.733,1.633,11.0
2549,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,86.5%,121.2,123.733,2.533,7.1
2649,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.5%,125.067,126.533,1.467,12.3
2984,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,45.9%,136.9,138.367,1.467,12.3
3019,Car / Sedan,2,Sedan / jeep / station wagon,normal,52.8%,138.367,139.733,1.367,13.2
3054,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,80.8%,141.267,143.333,2.067,8.7
3208,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.5%,145.4,146.667,1.267,14.2
3219,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.2%,146.0,147.567,1.567,11.5
