track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
138,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,38.7%,10.7,8.633,2.067,8.7
357,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,45.2%,18.267,16.2,2.067,8.7
376,Car / Sedan,2,Sedan / jeep / station wagon,opposite,67.2%,18.533,16.467,2.067,8.7
435,Car / Sedan,2,Sedan / jeep / station wagon,opposite,44.0%,21.033,18.967,2.067,8.7
548,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.8%,24.167,22.1,2.067,8.7
950,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,76.9%,41.233,39.167,2.067,8.7
1066,Bus,5,Bus,opposite,66.6%,44.833,42.767,2.067,8.7
1189,Bus,5,Bus,normal,84.1%,44.8,46.133,1.333,13.5
1318,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,51.1%,49.933,51.267,1.333,13.5
1426,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,62.3%,52.933,54.267,1.333,13.5
1543,Car / Sedan,2,Sedan / jeep / station wagon,opposite,64.1%,60.767,58.7,2.067,8.7
1670,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,83.6%,66.467,64.4,2.067,8.7
1679,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,71.8%,67.067,65.0,2.067,8.7
1696,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,64.6%,68.933,66.867,2.067,8.7
1807,Car / Sedan,2,Sedan / jeep / station wagon,opposite,67.6%,70.7,68.633,2.067,8.7
2071,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.3%,74.8,76.133,1.333,13.5
2011,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,47.8%,78.433,76.367,2.067,8.7
2118,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.6%,76.433,77.767,1.333,13.5
2171,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,80.5%,78.567,79.9,1.333,13.5
2116,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,87.2%,81.1,79.033,2.067,8.7
2496,Car / Sedan,2,Sedan / jeep / station wagon,normal,44.1%,88.133,89.467,1.333,13.5
2480,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.4%,91.867,89.8,2.067,8.7
2500,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.9%,92.5,90.433,2.067,8.7
2735,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.7%,96.4,97.733,1.333,13.5
2766,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,36.6%,96.867,98.2,1.333,13.5
2911,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.1%,100.6,101.933,1.333,13.5
3134,Car / Sedan,2,Sedan / jeep / station wagon,opposite,75.7%,110.7,108.633,2.067,8.7
3253,Bus,5,Bus,normal,91.5%,111.4,112.733,1.333,13.5
3417,Car / Sedan,2,Sedan / jeep / station wagon,opposite,43.1%,121.267,119.2,2.067,8.7
3567,Car / Sedan,2,Sedan / jeep / station wagon,normal,55.7%,122.3,123.633,1.333,13.5
3688,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,68.2%,129.967,127.9,2.067,8.7
3700,Car / Sedan,2,Sedan / jeep / station wagon,opposite,75.7%,130.0,127.933,2.067,8.7
3718,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,86.9%,133.033,130.967,2.067,8.7
3967,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,75.0%,140.033,137.967,2.067,8.7
4055,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.4%,143.567,141.5,2.067,8.7
4147,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,80.0%,147.2,145.133,2.067,8.7
4172,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.8%,147.8,145.733,2.067,8.7
4338,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,89.2%,153.333,151.733,1.6,11.3
4659,Car / Sedan,2,Sedan / jeep / station wagon,opposite,45.0%,163.7,161.633,2.067,8.7
4779,Bus,5,Bus,opposite,84.1%,167.1,165.033,2.067,8.7
5240,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.0%,177.1,178.433,1.333,13.5
5234,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,64.3%,180.333,178.267,2.067,8.7
5297,Bus,5,Bus,opposite,89.3%,183.1,181.033,2.067,8.7
5384,Public Transportation (Angkot),3,Medium passenger vehicle,normal,80.9%,181.4,182.733,1.333,13.5
5423,Bus,5,Bus,opposite,36.8%,186.667,184.6,2.067,8.7
