track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
2,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.8%,11.167,11.0,0.167,108.0
12,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.3%,32.1,32.3,0.2,90.0
11,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.5%,34.233,34.067,0.167,108.0
16,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.4%,38.167,38.433,0.267,67.5
800011,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,27.1%,52.9,53.4,0.5,36.0
46,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.6%,58.4,58.567,0.167,108.0
800013,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,31.4%,60.8,61.0,0.2,90.0
52,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,68.6%,62.0,62.233,0.233,77.2
73,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.7%,97.5,97.233,0.267,67.5
74,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.9%,105.3,105.533,0.233,77.2
92,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.5%,126.6,127.033,0.433,41.5
94,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,133.533,133.8,0.267,67.5
96,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.0%,136.433,136.667,0.233,77.1
800032,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,16.9%,138.1,139.9,1.8,10.0
800036,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,19.6%,147.8,147.9,0.1,180.0
105,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,85.8%,147.867,148.167,0.3,60.0
125,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,58.2%,167.533,167.867,0.333,54.0
130,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,56.8%,175.167,175.367,0.2,90.0
800048,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,47.5%,194.2,191.3,2.9,6.2
144,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,86.8%,192.8,192.633,0.167,108.0
156,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.7%,196.333,196.167,0.167,108.0
172,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,41.3%,216.3,216.4,0.1,180.0
171,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.1%,221.533,221.067,0.467,38.6
175,Public Transportation (Angkot),3,Medium passenger vehicle,normal,92.3%,223.767,223.5,0.267,67.5
184,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.2%,227.5,227.2,0.3,60.0
185,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.3%,229.9,229.633,0.267,67.5
191,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.3%,238.533,238.4,0.133,135.0
197,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.1%,255.8,256.033,0.233,77.2
