track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
3,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,46.5%,3.15,1.4,1.75,10.3
20,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,8.849,9.549,0.7,25.7
37,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.8%,15.048,15.398,0.35,51.4
570,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,21.248,21.698,0.45,40.0
611,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.0%,23.197,22.497,0.7,25.7
1615,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,32.796,33.446,0.65,27.7
1861,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.3%,35.196,35.896,0.7,25.7
1996,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,36.446,37.196,0.75,24.0
2143,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.7%,38.196,39.146,0.95,18.9
2126,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,38.346,39.046,0.7,25.7
2418,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.4%,41.345,42.145,0.8,22.5
2499,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,42.095,42.895,0.8,22.5
2685,Car / Sedan,2,Sedan / jeep / station wagon,opposite,69.5%,44.295,45.045,0.75,24.0
2869,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.2%,46.345,47.045,0.7,25.7
3258,Car / Sedan,2,Sedan / jeep / station wagon,opposite,47.6%,50.144,50.844,0.7,25.7
3239,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.5%,51.294,50.644,0.65,27.7
3499,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,51.944,52.694,0.75,24.0
3780,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.0%,54.894,55.494,0.6,30.0
3716,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.8%,55.594,54.894,0.7,25.7
4000,Car / Sedan,2,Sedan / jeep / station wagon,normal,56.8%,58.043,57.294,0.75,24.0
4235,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,59.093,59.743,0.65,27.7
4758,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.8%,63.993,64.743,0.75,24.0
5146,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.5%,68.142,69.092,0.95,18.9
5275,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.2%,68.992,70.392,1.4,12.9
5697,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,74.442,75.041,0.6,30.0
5720,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,74.891,75.691,0.8,22.5
5786,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,75.791,76.541,0.75,24.0
5989,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.8%,78.391,79.041,0.65,27.7
6075,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,79.241,79.891,0.65,27.7
6238,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.5%,80.741,81.291,0.55,32.7
6800,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,86.39,86.79,0.4,45.0
7103,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.5%,89.89,90.74,0.85,21.2
7278,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.1%,91.14,91.89,0.75,24.0
7377,Car / Sedan,2,Sedan / jeep / station wagon,opposite,72.3%,91.89,92.689,0.8,22.5
7450,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,92.439,93.09,0.65,27.7
7636,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.0%,94.939,96.489,1.55,11.6
7922,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.1%,96.289,96.939,0.65,27.7
7996,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.0%,97.639,98.839,1.2,15.0
8167,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,99.089,100.189,1.1,16.4
8136,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.0%,101.239,100.089,1.15,15.7
8885,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.4%,106.438,107.038,0.6,30.0
9018,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,107.838,108.588,0.75,24.0
9263,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,112.787,114.037,1.25,14.4
9527,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.9%,113.187,113.787,0.6,30.0
9601,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,114.137,115.087,0.95,18.9
9651,Car / Sedan,2,Sedan / jeep / station wagon,normal,83.9%,116.287,115.437,0.85,21.2
10359,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,121.386,122.086,0.7,25.7
12641,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.9%,150.033,149.083,0.95,18.9
14090,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.0%,166.581,165.831,0.75,24.0
14614,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,45.2%,173.68,171.631,2.05,8.8
15541,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,180.28,180.73,0.45,40.0
15619,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.6%,180.88,181.429,0.55,32.7
16175,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.1%,185.929,186.529,0.6,30.0
