track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.8%,3.45,5.35,1.9,9.5
35,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.0%,3.55,5.8,2.25,8.0
20,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,4.4,5.4,1.0,18.0
28,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,4.45,5.75,1.3,13.8
5,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,7.399,4.7,2.7,6.7
44,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,6.699,8.199,1.5,12.0
91,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,8.699,9.299,0.6,30.0
194,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.7%,10.049,11.149,1.1,16.4
99,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.8%,11.299,10.199,1.1,16.4
249,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.4%,11.999,10.949,1.05,17.1
372,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,12.149,13.049,0.9,20.0
306,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.2%,13.299,12.149,1.15,15.7
438,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.0%,14.699,13.699,1.0,18.0
595,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.6%,15.749,14.899,0.85,21.2
674,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,15.149,16.149,1.0,18.0
688,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.0%,17.399,16.449,0.95,18.9
790,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.2%,17.849,16.899,0.95,18.9
930,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,18.099,18.599,0.5,36.0
871,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.3%,19.698,18.198,1.5,12.0
966,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.0%,20.048,19.348,0.7,25.7
1112,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.2%,21.048,19.848,1.2,15.0
977,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.9%,21.498,20.648,0.85,21.2
1434,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,22.698,23.498,0.8,22.5
1491,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,23.498,24.298,0.8,22.5
1542,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,23.948,24.398,0.45,40.0
1621,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,24.848,25.398,0.55,32.7
1668,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,25.248,25.898,0.65,27.7
1695,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,25.248,25.698,0.45,40.0
1488,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.3%,28.348,25.648,2.7,6.7
1783,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,26.098,26.548,0.45,40.0
1874,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,26.948,27.448,0.5,36.0
1317,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.8%,29.648,27.248,2.4,7.5
1988,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,31.547,30.348,1.2,15.0
2132,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.8%,32.247,31.297,0.95,18.9
2304,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,32.047,32.547,0.5,36.0
2266,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.4%,33.847,32.897,0.95,18.9
2185,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,91.8%,34.847,33.847,1.0,18.0
2576,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,35.197,35.797,0.6,30.0
2708,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,36.447,37.047,0.6,30.0
2584,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.5%,37.697,39.497,1.8,10.0
2837,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,37.897,38.647,0.75,24.0
2825,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,37.947,38.747,0.8,22.5
2855,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.6%,41.397,39.097,2.3,7.8
2974,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,39.497,40.347,0.85,21.2
3002,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,39.647,40.497,0.85,21.2
3003,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.1%,39.897,40.897,1.0,18.0
3094,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,40.697,41.447,0.75,24.0
3147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,40.847,41.647,0.8,22.5
3175,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.4%,42.596,41.047,1.55,11.6
3207,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,41.397,42.197,0.8,22.5
3030,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.3%,42.846,41.797,1.05,17.1
3304,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,42.397,43.147,0.75,24.0
3331,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,42.447,43.096,0.65,27.7
3401,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,43.147,43.946,0.8,22.5
3462,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,43.246,43.996,0.75,24.0
3496,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.9%,44.496,43.396,1.1,16.4
3501,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,43.896,44.696,0.8,22.5
3517,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.7%,46.196,45.246,0.95,18.9
3695,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,45.646,46.246,0.6,30.0
3707,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,45.846,46.546,0.7,25.7
3706,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,45.896,46.596,0.7,25.7
3722,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,45.996,46.596,0.6,30.0
3737,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.5%,47.846,46.146,1.7,10.6
3831,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,46.896,47.496,0.6,30.0
3745,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.6%,48.046,46.896,1.15,15.7
3909,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,47.596,48.346,0.75,24.0
3760,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.4%,48.446,47.596,0.85,21.2
3968,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,48.196,48.846,0.65,27.7
4035,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,48.946,49.796,0.85,21.2
4052,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,52.046,49.146,2.9,6.2
4069,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.2%,50.746,49.546,1.2,15.0
4116,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,49.746,50.496,0.75,24.0
4092,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.5%,50.946,49.996,0.95,18.9
4218,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,50.546,51.246,0.7,25.7
4233,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,58.0%,53.346,50.846,2.5,7.2
4277,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.4%,51.546,50.846,0.7,25.7
4320,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,51.396,52.196,0.8,22.5
4048,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.2%,52.996,51.646,1.35,13.3
4377,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,51.946,52.646,0.7,25.7
4446,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,52.446,53.196,0.75,24.0
4447,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,52.596,53.296,0.7,25.7
4359,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.1%,53.646,52.846,0.8,22.5
