track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
54,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.2%,6.649,7.099,0.45,40.0
96,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,86.7%,9.849,10.149,0.3,60.0
113,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,12.149,12.699,0.55,32.7
183,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.0%,20.948,21.198,0.25,72.0
201,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.0%,25.298,25.798,0.5,36.0
247,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,30.247,30.847,0.6,30.0
21,Car / Sedan,2,Sedan / jeep / station wagon,opposite,70.2%,34.047,34.447,0.4,45.0
98,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.6%,41.446,41.946,0.5,36.0
124,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.2%,42.596,42.996,0.4,45.0
140,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,44.446,45.346,0.9,20.0
165,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.8%,45.946,46.296,0.35,51.4
186,Car / Sedan,2,Sedan / jeep / station wagon,opposite,60.5%,47.546,47.846,0.3,60.0
202,Car / Sedan,2,Sedan / jeep / station wagon,opposite,68.1%,49.596,50.146,0.55,32.7
231,Car / Sedan,2,Sedan / jeep / station wagon,opposite,60.6%,50.596,50.946,0.35,51.4
19,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,33.4%,52.045,52.595,0.55,32.7
60,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.5%,52.845,53.295,0.45,40.0
65,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.6%,63.194,53.045,10.149,1.8
73,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.2%,53.645,54.095,0.45,40.0
130,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.5%,55.495,56.495,1.0,18.0
133,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.1%,56.695,57.195,0.5,36.0
240,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,59.845,60.295,0.45,40.0
248,Car / Sedan,2,Sedan / jeep / station wagon,opposite,66.5%,60.395,60.745,0.35,51.4
7,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.1%,61.745,62.044,0.3,60.0
6,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,84.6%,62.094,62.444,0.35,51.4
173,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.9%,69.144,69.644,0.5,36.0
