track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
5,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.2%,1.65,0.6,1.05,17.1
14,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,1.15,1.9,0.75,24.0
19,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,1.5,2.65,1.15,15.7
36,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.6%,4.9,2.15,2.75,6.5
40,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,2.4,3.1,0.7,25.7
44,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,2.4,3.0,0.6,30.0
59,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,57.8%,6.0,4.0,2.0,9.0
61,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,4.05,4.85,0.8,22.5
72,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.2%,6.349,5.05,1.3,13.8
84,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,5.4,6.149,0.75,24.0
95,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,6.3,7.249,0.95,18.9
100,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.5%,8.999,7.799,1.2,15.0
106,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.7%,8.149,9.099,0.95,18.9
137,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.0%,10.299,9.149,1.15,15.7
138,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.5%,9.849,26.798,16.949,1.1
146,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.5%,10.449,11.499,1.05,17.1
168,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,11.299,12.099,0.8,22.5
167,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,11.449,12.449,1.0,18.0
188,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,89.0%,12.749,29.248,16.499,1.1
201,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,14.049,12.949,1.1,16.4
205,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.7%,13.049,13.949,0.9,20.0
206,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.4%,13.299,14.049,0.75,24.0
217,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.1%,14.499,13.399,1.1,16.4
260,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,64.7%,17.299,15.549,1.75,10.3
279,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,16.349,16.849,0.5,36.0
287,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,16.749,17.549,0.8,22.5
301,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,17.449,18.198,0.75,24.0
333,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,59.3%,20.048,18.798,1.25,14.4
348,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,19.898,20.648,0.75,24.0
361,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.5%,21.098,21.898,0.8,22.5
372,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.7%,24.098,21.648,2.45,7.3
359,Public Transportation (Angkot),3,Medium passenger vehicle,normal,90.3%,23.448,22.498,0.95,18.9
377,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.3%,24.698,23.598,1.1,16.4
26,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,24.248,25.098,0.85,21.2
80,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.8%,25.598,26.248,0.65,27.7
