track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
12,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,1.05,1.55,0.5,36.0
18,Bus,5,Bus,opposite,89.1%,2.3,2.8,0.5,36.0
30,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.6%,3.85,4.35,0.5,36.0
40,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,68.7%,5.25,5.85,0.6,30.0
70,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,22.399,6.85,15.549,1.2
129,Car / Sedan,2,Sedan / jeep / station wagon,opposite,76.6%,12.249,12.649,0.4,45.0
172,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.7%,15.449,15.899,0.45,40.0
176,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,15.999,16.449,0.45,40.0
189,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,59.8%,17.299,17.749,0.45,40.0
223,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.5%,19.249,19.749,0.5,36.0
236,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,19.899,20.449,0.55,32.7
17,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.6%,21.449,22.099,0.65,27.7
76,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.7%,22.799,23.249,0.45,40.0
67,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,89.5%,23.399,23.949,0.55,32.7
94,Car / Sedan,2,Sedan / jeep / station wagon,opposite,45.8%,24.499,25.049,0.55,32.7
125,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.8%,26.149,26.599,0.45,40.0
182,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.7%,27.698,28.098,0.4,45.0
245,Car / Sedan,2,Sedan / jeep / station wagon,opposite,81.8%,29.798,30.098,0.3,60.0
261,Car / Sedan,2,Sedan / jeep / station wagon,opposite,52.6%,30.748,31.148,0.4,45.0
276,Car / Sedan,2,Sedan / jeep / station wagon,opposite,45.0%,31.798,32.248,0.45,40.0
114,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,68.8%,35.898,36.298,0.4,45.0
143,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,85.6%,38.898,39.448,0.55,32.7
148,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.2%,39.298,39.798,0.5,36.0
