track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.7%,2.15,0.65,1.5,12.0
78,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.9%,3.2,1.65,1.55,11.6
7,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.6%,4.15,2.55,1.6,11.3
125,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.5%,3.15,4.45,1.3,13.8
234,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,4.55,5.8,1.25,14.4
282,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,5.1,6.35,1.25,14.4
316,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,6.5,5.15,1.35,13.3
347,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,7.5,5.85,1.65,10.9
289,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,81.8%,8.45,7.05,1.4,12.9
561,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.0%,16.549,10.949,5.6,3.2
632,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,11.049,12.249,1.2,15.0
601,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.2%,11.599,12.999,1.4,12.9
697,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.6%,18.599,13.149,5.45,3.3
825,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.8%,18.749,15.099,3.65,4.9
710,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.3%,16.249,18.649,2.4,7.5
815,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,16.999,19.099,2.1,8.6
882,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,18.649,20.849,2.2,8.2
1040,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,20.499,22.349,1.85,9.7
1172,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.9%,22.699,24.549,1.85,9.7
1207,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.1%,23.799,22.799,1.0,18.0
1326,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.9%,26.149,23.749,2.4,7.5
1308,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.4%,25.799,24.399,1.4,12.9
1317,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.4%,24.649,25.999,1.35,13.3
1342,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,86.9%,26.999,25.549,1.45,12.4
1397,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.6%,28.349,26.999,1.35,13.3
1513,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,27.149,27.949,0.8,22.5
1540,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.4%,29.398,28.199,1.2,15.0
1592,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.6%,30.248,29.299,0.95,18.9
1666,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.2%,31.898,31.048,0.85,21.2
1731,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.8%,34.448,32.298,2.15,8.4
1748,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.1%,32.448,33.348,0.9,20.0
1775,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.0%,41.248,33.098,8.15,2.2
1786,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,34.548,36.248,1.7,10.6
1855,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.6%,37.598,35.548,2.05,8.8
1884,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,39.098,36.198,2.9,6.2
2000,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.2%,37.448,39.498,2.05,8.8
2042,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.9%,40.448,38.398,2.05,8.8
2012,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.9%,38.698,40.248,1.55,11.6
2109,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.6%,40.598,39.748,0.85,21.2
2204,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,40.848,41.398,0.55,32.7
2207,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.0%,41.398,42.248,0.85,21.2
2240,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.2%,44.198,42.948,1.25,14.4
2320,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,44.598,43.548,1.05,17.1
2344,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.8%,45.348,44.398,0.95,18.9
2465,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,46.048,46.798,0.75,24.0
2476,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,46.398,46.898,0.5,36.0
2413,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.6%,48.348,47.148,1.2,15.0
2524,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.0%,51.847,48.148,3.7,4.9
2573,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,69.2%,53.747,50.097,3.65,4.9
2617,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,50.498,51.147,0.65,27.7
2582,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.0%,52.447,51.497,0.95,18.9
2694,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,53.547,52.397,1.15,15.7
2719,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.4%,54.747,53.097,1.65,10.9
