track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
10,Car / Sedan,2,Sedan / jeep / station wagon,normal,38.0%,1.767,2.7,0.933,19.3
7,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.7%,4.9,1.9,3.0,6.0
1,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,79.8%,2.267,3.9,1.633,11.0
9,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.1%,3.833,2.4,1.433,12.6
21,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.1%,2.533,3.5,0.967,18.6
4,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,81.9%,3.1,3.9,0.8,22.5
13,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.3%,4.633,5.6,0.967,18.6
52,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.2%,7.2,8.0,0.8,22.5
81,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.6%,8.1,8.9,0.8,22.5
87,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.7%,11.3,10.033,1.267,14.2
147,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.2%,11.0,11.667,0.667,27.0
140,Car / Sedan,2,Sedan / jeep / station wagon,normal,64.1%,11.1,11.867,0.767,23.5
324,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.0%,16.533,17.267,0.733,24.5
336,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,74.5%,20.033,22.1,2.067,8.7
474,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.3%,22.233,23.033,0.8,22.5
507,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.6%,23.5,24.133,0.633,28.4
521,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.0%,25.833,24.4,1.433,12.6
568,Car / Sedan,2,Sedan / jeep / station wagon,normal,46.2%,25.1,25.667,0.567,31.8
632,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.9%,30.767,29.467,1.3,13.8
701,Car / Sedan,2,Sedan / jeep / station wagon,normal,60.7%,30.267,30.867,0.6,30.0
798,Car / Sedan,2,Sedan / jeep / station wagon,normal,83.6%,33.433,34.033,0.6,30.0
895,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.3%,36.867,37.667,0.8,22.5
894,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.0%,38.9,37.933,0.967,18.6
970,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.9%,41.467,42.267,0.8,22.5
933,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,74.1%,42.3,41.467,0.833,21.6
980,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,78.3%,44.0,42.867,1.133,15.9
1018,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.0%,43.0,43.667,0.667,27.0
1251,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.9%,52.333,50.9,1.433,12.6
1296,Car / Sedan,2,Sedan / jeep / station wagon,normal,35.5%,51.633,52.3,0.667,27.0
1353,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.9%,54.467,55.267,0.8,22.5
1464,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.7%,57.8,58.6,0.8,22.5
1476,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.4%,58.8,59.6,0.8,22.5
1518,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.2%,60.067,60.867,0.8,22.5
1522,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.6%,61.133,61.9,0.767,23.5
1524,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,44.0%,61.9,63.033,1.133,15.9
1567,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.4%,62.8,63.667,0.867,20.8
1603,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,82.7%,65.667,64.667,1.0,18.0
1640,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.2%,64.7,65.5,0.8,22.5
1648,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.9%,66.0,66.8,0.8,22.5
1693,Car / Sedan,2,Sedan / jeep / station wagon,normal,35.7%,67.2,67.933,0.733,24.5
1759,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.3%,70.1,71.0,0.9,20.0
1777,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,86.8%,71.0,71.9,0.9,20.0
1850,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.6%,71.7,72.5,0.8,22.5
1826,Car / Sedan,2,Sedan / jeep / station wagon,normal,55.5%,72.0,72.867,0.867,20.8
1858,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.0%,73.367,74.2,0.833,21.6
1860,Public Transportation (Angkot),3,Medium passenger vehicle,normal,63.4%,74.0,74.9,0.9,20.0
1865,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.8%,75.233,74.167,1.067,16.9
1902,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.2%,75.267,76.067,0.8,22.5
