track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
15,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,1.0,2.25,1.25,14.4
2,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.9%,6.099,1.6,4.5,4.0
19,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.5%,3.0,2.1,0.9,20.0
26,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.9%,2.4,4.05,1.65,10.9
22,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.8%,2.55,3.8,1.25,14.4
25,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,2.7,4.05,1.35,13.3
18,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.9%,4.35,3.3,1.05,17.1
27,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.7%,5.599,4.35,1.25,14.4
29,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,4.55,6.05,1.5,12.0
43,Car / Sedan,2,Sedan / jeep / station wagon,opposite,64.3%,7.099,8.249,1.15,15.7
67,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.1%,10.099,7.799,2.3,7.8
206,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,35.2%,12.849,9.249,3.6,5.0
224,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.1%,11.849,9.299,2.55,7.1
251,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,94.2%,9.949,11.199,1.25,14.4
325,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,10.999,12.349,1.35,13.3
464,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.9%,13.949,11.699,2.25,8.0
424,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,11.949,12.849,0.9,20.0
486,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,12.749,13.999,1.25,14.4
533,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,12.899,14.299,1.4,12.9
575,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,13.599,14.849,1.25,14.4
635,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.1%,13.699,14.499,0.8,22.5
689,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,15.099,16.499,1.4,12.9
835,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.1%,16.299,17.349,1.05,17.1
863,Car / Sedan,2,Sedan / jeep / station wagon,opposite,94.0%,17.249,18.599,1.35,13.3
982,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,18.448,19.648,1.2,15.0
