track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
23,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.4%,1.3,2.233,0.933,19.3
25,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,28.8%,1.467,2.933,1.467,12.3
99,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,83.5%,10.3,8.7,1.6,11.2
108,Public Transportation (Angkot),3,Medium passenger vehicle,normal,83.8%,10.333,11.367,1.033,17.4
159,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.7%,14.467,15.7,1.233,14.6
368,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.3%,23.833,24.633,0.8,22.5
375,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,87.5%,25.633,24.2,1.433,12.6
387,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.9%,24.533,25.633,1.1,16.4
422,Public Transportation (Angkot),3,Medium passenger vehicle,normal,55.8%,25.867,27.3,1.433,12.6
423,Bus,5,Bus,normal,47.2%,26.333,27.6,1.267,14.2
984,Bus,5,Bus,normal,60.7%,50.3,51.367,1.067,16.9
1048,Car / Sedan,2,Sedan / jeep / station wagon,normal,44.8%,53.133,53.967,0.833,21.6
1070,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,44.8%,54.267,55.233,0.967,18.6
1108,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.5%,55.133,55.967,0.833,21.6
1511,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.4%,77.4,75.8,1.6,11.2
1832,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,89.2%,95.4,96.433,1.033,17.4
1963,Car / Sedan,2,Sedan / jeep / station wagon,normal,38.6%,99.8,100.833,1.033,17.4
2110,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.3%,109.367,107.667,1.7,10.6
2156,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.4%,110.833,109.8,1.033,17.4
2159,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,72.6%,111.767,110.7,1.067,16.9
2266,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.0%,114.733,115.8,1.067,16.9
2279,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.5%,115.433,116.367,0.933,19.3
2292,Public Transportation (Angkot),3,Medium passenger vehicle,normal,73.9%,116.4,117.467,1.067,16.9
2364,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,83.4%,118.7,120.6,1.9,9.5
2498,Car / Sedan,2,Sedan / jeep / station wagon,normal,41.9%,123.2,124.233,1.033,17.4
2495,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,87.6%,129.3,131.567,2.267,7.9
2627,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,89.6%,132.533,130.867,1.667,10.8
2760,Public Transportation (Angkot),3,Medium passenger vehicle,normal,34.4%,135.8,136.733,0.933,19.3
2824,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,74.0%,140.3,141.633,1.333,13.5
2979,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.0%,142.067,143.133,1.067,16.9
3237,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.9%,152.7,153.433,0.733,24.5
3253,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.0%,153.267,154.2,0.933,19.3
3350,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.5%,157.7,158.767,1.067,16.9
