track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
4,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.0%,3.95,1.15,2.8,6.4
6,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.4%,6.0,1.65,4.35,4.1
39,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,4.55,5.25,0.7,25.7
34,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.5%,5.7,7.3,1.6,11.3
61,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.5%,7.35,6.35,1.0,18.0
25,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.4%,8.9,6.55,2.35,7.7
77,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,7.05,8.7,1.65,10.9
152,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,40.3%,8.6,7.65,0.95,18.9
100,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.0%,10.8,8.1,2.7,6.7
250,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,69.4%,9.2,8.35,0.85,21.2
422,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,9.55,10.35,0.8,22.5
416,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.0%,11.099,9.85,1.25,14.4
524,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.9%,12.399,10.7,1.7,10.6
160,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.6%,13.149,10.999,2.15,8.4
726,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,12.649,13.299,0.65,27.7
618,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.9%,13.799,12.699,1.1,16.4
849,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.1%,16.899,14.249,2.65,6.8
655,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.4%,15.999,14.599,1.4,12.9
745,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.8%,17.399,16.099,1.3,13.8
951,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.4%,18.199,17.099,1.1,16.4
1141,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.3%,19.349,17.349,2.0,9.0
1087,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.6%,18.749,17.849,0.9,20.0
1088,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.5%,18.949,18.299,0.65,27.7
1294,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.3%,20.399,19.349,1.05,17.1
1130,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.1%,21.399,19.949,1.45,12.4
1314,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,90.6%,23.099,21.649,1.45,12.4
1480,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.9%,23.049,22.099,0.95,18.9
1636,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.1%,24.399,23.249,1.15,15.7
1850,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.2%,25.349,23.899,1.45,12.4
1851,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,26.149,24.499,1.65,10.9
