track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
3,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,0.2,1.3,1.1,16.4
2,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,0.45,2.15,1.7,10.6
9,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,0.75,2.6,1.85,9.7
7,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,1.5,3.25,1.75,10.3
29,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,1.8,3.3,1.5,12.0
63,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.3%,1.9,4.05,2.15,8.4
127,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.6%,3.15,4.5,1.35,13.3
48,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,94.1%,4.65,6.55,1.9,9.5
174,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.8%,5.5,7.999,2.5,7.2
180,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,5.9,7.599,1.7,10.6
265,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,85.1%,7.949,9.899,1.95,9.2
59,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.3%,10.049,12.899,2.85,6.3
81,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.2%,12.849,10.449,2.4,7.5
109,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,11.149,13.249,2.1,8.6
189,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.6%,14.299,11.899,2.4,7.5
286,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.2%,15.099,12.899,2.2,8.2
285,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.8%,13.849,15.349,1.5,12.0
108,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.7%,16.049,14.249,1.8,10.0
427,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,15.449,16.749,1.3,13.8
460,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,15.749,16.899,1.15,15.7
421,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.0%,19.099,15.749,3.35,5.4
461,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.5%,18.249,16.699,1.55,11.6
532,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.0%,16.999,17.949,0.95,18.9
533,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.1%,18.749,17.199,1.55,11.6
588,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,18.299,19.898,1.6,11.3
612,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,18.499,19.648,1.15,15.7
657,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,19.299,20.599,1.3,13.8
695,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,20.299,21.598,1.3,13.8
736,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,21.898,23.198,1.3,13.8
788,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,22.548,23.848,1.3,13.8
782,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,22.698,23.698,1.0,18.0
808,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,23.348,24.598,1.25,14.4
818,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,23.998,25.298,1.3,13.8
843,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,24.298,25.598,1.3,13.8
868,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,25.098,26.348,1.25,14.4
844,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.9%,26.248,28.248,2.0,9.0
952,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,26.898,28.048,1.15,15.7
1080,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,28.248,29.898,1.65,10.9
1048,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.8%,29.248,31.248,2.0,9.0
1149,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,29.848,31.048,1.2,15.0
1108,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,30.798,32.848,2.05,8.8
1160,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,31.048,32.698,1.65,10.9
927,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,31.898,33.597,1.7,10.6
1231,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,32.648,34.447,1.8,10.0
1396,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,34.197,35.447,1.25,14.4
1351,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,34.947,36.997,2.05,8.8
1452,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,63.0%,37.547,34.947,2.6,6.9
1473,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,35.497,36.697,1.2,15.0
1324,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.3%,38.697,35.897,2.8,6.4
1505,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,36.097,37.347,1.25,14.4
1507,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,36.247,37.397,1.15,15.7
1565,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,37.297,38.397,1.1,16.4
1644,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.0%,39.047,39.947,0.9,20.0
1662,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.3%,39.247,40.447,1.2,15.0
1469,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.5%,41.697,39.247,2.45,7.3
1715,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,40.697,41.747,1.05,17.1
1632,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.5%,43.447,41.697,1.75,10.3
1763,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,45.197,42.747,2.45,7.3
1779,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,42.947,44.097,1.15,15.7
1829,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,41.0%,45.597,43.697,1.9,9.5
1768,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.2%,46.846,44.797,2.05,8.8
1916,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,47.797,46.597,1.2,15.0
1993,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,46.897,47.846,0.95,18.9
1984,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.0%,48.446,47.246,1.2,15.0
1997,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.3%,52.646,47.797,4.85,3.7
2036,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,56.8%,49.496,47.897,1.6,11.3
1998,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.9%,57.696,49.296,8.399,2.1
2151,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.5%,51.946,50.996,0.95,18.9
2174,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.7%,52.896,51.796,1.1,16.4
2009,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.5%,62.545,53.196,9.349,1.9
2330,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,54.146,55.196,1.05,17.1
2302,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.2%,57.996,54.346,3.65,4.9
2314,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.5%,59.646,54.896,4.75,3.8
2268,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,56.546,57.996,1.45,12.4
2414,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,57.946,59.646,1.7,10.6
2424,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.6%,60.795,57.996,2.8,6.4
2449,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,58.946,60.696,1.75,10.3
2501,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.6%,61.695,59.196,2.5,7.2
2544,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.6%,62.745,60.295,2.45,7.3
2547,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.0%,63.395,61.295,2.1,8.6
2576,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.8%,63.845,61.995,1.85,9.7
2632,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,64.445,62.845,1.6,11.3
2295,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,91.3%,67.045,64.095,2.95,6.1
2676,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.8%,65.445,64.145,1.3,13.8
2729,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.3%,66.645,65.495,1.15,15.7
2809,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.0%,67.595,66.395,1.2,15.0
2822,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,68.145,66.945,1.2,15.0
2905,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.4%,69.845,67.495,2.35,7.7
2906,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.0%,70.395,69.095,1.3,13.8
2940,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.2%,69.845,69.145,0.7,25.7
2962,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,63.4%,73.195,69.895,3.3,5.5
2992,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.4%,71.245,69.895,1.35,13.3
2865,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.0%,77.744,71.195,6.55,2.7
3086,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,73.894,75.744,1.85,9.7
3105,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,74.695,76.194,1.5,12.0
3152,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,75.844,77.194,1.35,13.3
3128,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.4%,79.294,76.044,3.25,5.5
2995,Car / Sedan,2,Sedan / jeep / station wagon,normal,33.8%,80.744,76.244,4.5,4.0
3240,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.7%,76.694,78.244,1.55,11.6
3144,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.3%,80.244,77.294,2.95,6.1
3300,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,77.794,79.394,1.6,11.3
3337,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,78.494,79.844,1.35,13.3
3320,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,81.444,79.244,2.2,8.2
