track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
4,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,75.5%,5.85,5.2,0.65,27.7
144,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,21.149,21.649,0.5,36.0
158,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.2%,24.399,23.149,1.25,14.4
254,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,35.248,36.298,1.05,17.1
279,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,48.8%,36.098,36.748,0.65,27.7
281,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.5%,36.548,37.198,0.65,27.7
416,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.1%,50.197,49.498,0.7,25.7
462,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.8%,53.947,53.247,0.7,25.7
545,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,55.3%,58.497,57.947,0.55,32.7
551,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,58.547,59.397,0.85,21.2
580,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.4%,61.997,60.797,1.2,15.0
689,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,72.446,73.046,0.6,30.0
686,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.9%,73.496,72.596,0.9,20.0
915,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,67.5%,96.395,97.795,1.4,12.9
1189,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.6%,118.194,119.044,0.85,21.2
1201,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,120.494,121.944,1.45,12.4
1216,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.7%,122.344,121.744,0.6,30.0
1287,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.7%,128.194,127.244,0.95,18.9
1365,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.4%,135.893,135.193,0.7,25.7
1814,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,172.991,173.541,0.55,32.7
1809,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.3%,173.941,174.441,0.5,36.0
1894,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,180.791,181.291,0.5,36.0
1947,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,185.591,186.191,0.6,30.0
1973,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.7%,187.291,188.241,0.95,18.9
2002,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,189.391,190.041,0.65,27.7
2103,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,199.54,200.24,0.7,25.7
2274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,215.589,216.289,0.7,25.7
2319,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,220.339,219.789,0.55,32.7
2333,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,220.839,221.639,0.8,22.5
2578,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.9%,240.138,241.738,1.6,11.3
2682,Public Transportation (Angkot),3,Medium passenger vehicle,normal,55.5%,252.338,251.537,0.8,22.5
2746,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.0%,253.887,254.687,0.8,22.5
2916,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.8%,269.237,269.837,0.6,30.0
3249,Public Transportation (Angkot),3,Medium passenger vehicle,normal,89.0%,304.285,302.585,1.7,10.6
3482,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,322.934,323.634,0.7,25.7
3481,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,323.034,323.784,0.75,24.0
3636,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,58.8%,336.783,337.383,0.6,30.0
3656,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,339.433,340.183,0.75,24.0
3669,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,340.533,341.233,0.7,25.7
3715,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,343.083,343.783,0.7,25.7
3760,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.6%,344.433,345.083,0.65,27.7
3903,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,354.432,355.232,0.8,22.5
3915,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.8%,355.882,356.682,0.8,22.5
3940,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,70.3%,360.032,358.232,1.8,10.0
4005,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,366.932,367.482,0.55,32.7
4013,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,368.132,369.632,1.5,12.0
4481,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.8%,409.33,409.78,0.45,40.0
4566,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,417.579,418.429,0.85,21.2
4563,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.6%,420.479,417.679,2.8,6.4
4744,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,438.278,439.078,0.8,22.5
5121,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.5%,462.077,461.277,0.8,22.5
5569,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,490.926,491.875,0.95,18.9
5625,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,494.025,494.625,0.6,30.0
5658,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,497.725,498.425,0.7,25.7
5769,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,507.725,508.675,0.95,18.9
5915,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.5%,521.124,522.224,1.1,16.4
5962,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.2%,526.874,527.874,1.0,18.0
6013,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,531.674,532.423,0.75,24.0
6095,Public Transportation (Angkot),3,Medium passenger vehicle,normal,79.7%,541.973,541.023,0.95,18.9
6382,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,565.922,566.422,0.5,36.0
6476,Bus,5,Bus,normal,91.9%,578.471,577.621,0.85,21.2
6516,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,46.7%,584.771,580.921,3.85,4.7
6521,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.2%,582.921,582.171,0.75,24.0
6542,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,38.6%,586.021,585.221,0.8,22.5
6596,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,589.221,591.121,1.9,9.5
6728,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,602.17,602.77,0.6,30.0
6729,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,602.32,603.57,1.25,14.4
6945,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,626.369,627.019,0.65,27.7
6938,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.5%,630.019,626.919,3.1,5.8
6959,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.5%,629.669,629.069,0.6,30.0
7198,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.1%,645.718,647.718,2.0,9.0
7306,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.8%,653.418,653.967,0.55,32.7
7361,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.8%,660.017,660.667,0.65,27.7
7430,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.7%,665.417,666.067,0.65,27.7
7449,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,666.667,668.117,1.45,12.4
7481,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,669.817,670.517,0.7,25.7
7941,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.3%,710.915,710.365,0.55,32.7
8017,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.2%,712.915,713.414,0.5,36.0
8057,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,715.914,716.464,0.55,32.7
8279,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,739.313,739.913,0.6,30.0
8327,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.7%,749.363,750.013,0.65,27.7
8326,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,79.6%,750.563,749.863,0.7,25.7
8430,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.2%,761.662,760.862,0.8,22.5
8594,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,84.2%,775.162,774.361,0.8,22.5
8684,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.3%,781.911,781.011,0.9,20.0
8752,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,55.0%,783.711,784.361,0.65,27.7
8874,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,796.36,797.31,0.95,18.9
8971,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,805.36,805.91,0.55,32.7
9022,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,810.91,811.51,0.6,30.0
9108,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,80.0%,816.659,817.259,0.6,30.0
9157,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,819.909,820.609,0.7,25.7
9212,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.6%,826.109,826.859,0.75,24.0
9250,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.2%,829.059,829.509,0.45,40.0
9271,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,89.0%,831.909,830.559,1.35,13.3
9556,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.6%,851.558,850.758,0.8,22.5
9618,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.3%,852.908,853.658,0.75,24.0
9800,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,861.157,862.357,1.2,15.0
9923,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,868.707,869.457,0.75,24.0
9925,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,44.3%,868.957,869.657,0.7,25.7
10017,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.5%,879.756,880.406,0.65,27.7
10039,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,881.506,882.356,0.85,21.2
10109,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,886.706,887.256,0.55,32.7
10114,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,887.006,887.706,0.7,25.7
10505,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.1%,921.304,920.554,0.75,24.0
10541,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,922.954,924.504,1.55,11.6
