track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
7,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.9%,2.3,3.2,0.9,20.0
10,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.0%,2.433,3.2,0.767,23.5
38,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,10.267,11.167,0.9,20.0
78,Car / Sedan,2,Sedan / jeep / station wagon,opposite,80.7%,13.533,12.6,0.933,19.3
86,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.5%,15.233,13.5,1.733,10.4
132,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.6%,14.0,14.9,0.9,20.0
148,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.2%,14.3,15.2,0.9,20.0
154,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.5%,17.633,15.9,1.733,10.4
230,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.4%,16.0,16.9,0.9,20.0
214,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,89.8%,16.633,17.533,0.9,20.0
258,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.0%,17.3,18.2,0.9,20.0
255,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.1%,19.8,18.067,1.733,10.4
302,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,19.333,20.233,0.9,20.0
384,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.0%,22.367,23.267,0.9,20.0
372,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,88.2%,23.033,22.367,0.667,27.0
397,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.5%,25.0,23.267,1.733,10.4
421,Car / Sedan,2,Sedan / jeep / station wagon,normal,60.6%,24.233,25.133,0.9,20.0
312,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,62.8%,24.3,26.933,2.633,6.8
423,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.4%,26.6,24.867,1.733,10.4
479,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.9%,25.367,26.267,0.9,20.0
489,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,73.9%,27.367,29.467,2.1,8.6
610,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.1%,33.067,31.333,1.733,10.4
640,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.9%,31.967,32.867,0.9,20.0
673,Car / Sedan,2,Sedan / jeep / station wagon,normal,50.7%,33.167,34.467,1.3,13.8
731,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.0%,35.067,35.967,0.9,20.0
755,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,87.8%,35.467,36.367,0.9,20.0
802,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.2%,38.833,38.0,0.833,21.6
807,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.3%,39.5,38.167,1.333,13.5
861,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.6%,39.433,40.333,0.9,20.0
886,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,40.567,41.467,0.9,20.0
936,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,43.3,44.2,0.9,20.0
928,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,77.5%,44.467,43.733,0.733,24.5
995,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,53.1%,46.167,47.033,0.867,20.8
1105,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.8%,49.533,50.267,0.733,24.5
1091,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.9%,51.3,49.9,1.4,12.9
1216,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.4%,52.633,53.533,0.9,20.0
1219,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,37.7%,53.1,56.667,3.567,5.0
1227,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.7%,55.6,54.367,1.233,14.6
1287,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.8%,56.5,55.6,0.9,20.0
1329,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,55.833,56.733,0.9,20.0
1331,Public Transportation (Angkot),3,Medium passenger vehicle,normal,75.7%,56.267,57.167,0.9,20.0
1351,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.5%,60.0,58.267,1.733,10.4
1401,Car / Sedan,2,Sedan / jeep / station wagon,normal,49.0%,59.2,59.8,0.6,30.0
1424,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.3%,59.333,60.233,0.9,20.0
1454,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.3%,60.533,61.433,0.9,20.0
1555,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,52.1%,65.467,66.6,1.133,15.9
1568,Car / Sedan,2,Sedan / jeep / station wagon,normal,36.9%,65.633,66.533,0.9,20.0
1739,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.1%,70.633,71.533,0.9,20.0
1738,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.2%,70.8,71.7,0.9,20.0
1779,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.8%,72.9,73.8,0.9,20.0
1793,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,88.6%,75.033,74.333,0.7,25.7
1798,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,71.4%,74.567,75.267,0.7,25.7
1827,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,58.0%,76.267,74.967,1.3,13.8
1888,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.6%,76.667,77.367,0.7,25.7
1904,Car / Sedan,2,Sedan / jeep / station wagon,normal,48.6%,77.133,78.0,0.867,20.8
1915,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.5%,78.2,77.433,0.767,23.5
1975,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.5%,78.333,79.233,0.9,20.0
1980,Car / Sedan,2,Sedan / jeep / station wagon,normal,49.6%,79.533,80.267,0.733,24.5
2045,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.6%,83.167,81.433,1.733,10.4
2114,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.2%,83.367,84.267,0.9,20.0
2165,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,86.2%,85.233,86.267,1.033,17.4
