track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
169,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.8%,8.449,9.149,0.7,25.7
71,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.0%,19.099,18.299,0.8,22.5
91,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,48.5%,21.349,19.049,2.3,7.8
339,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.6%,32.648,33.248,0.6,30.0
286,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.9%,34.197,32.948,1.25,14.4
345,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.2%,33.098,33.748,0.65,27.7
387,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.3%,33.698,34.398,0.7,25.7
92,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,35.097,35.847,0.75,24.0
80,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,35.647,49.446,13.799,1.3
168,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,36.447,37.047,0.6,30.0
146,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.1%,38.297,37.097,1.2,15.0
208,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,37.697,38.647,0.95,18.9
180,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,40.7%,42.597,37.897,4.7,3.8
269,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,38.947,39.547,0.6,30.0
274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,39.047,39.797,0.75,24.0
343,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.2%,42.197,40.997,1.2,15.0
390,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,41.497,42.097,0.6,30.0
426,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,42.597,43.347,0.75,24.0
74,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,43.797,44.647,0.85,21.2
81,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.0%,46.247,44.947,1.3,13.8
152,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,45.347,46.097,0.75,24.0
154,Public Transportation (Angkot),3,Medium passenger vehicle,normal,74.2%,47.147,45.947,1.2,15.0
182,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.3%,49.696,48.547,1.15,15.7
129,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.4%,49.246,49.696,0.45,40.0
289,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.2%,52.796,51.646,1.15,15.7
358,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,52.346,53.196,0.85,21.2
402,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,52.696,53.446,0.75,24.0
432,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.0%,53.096,53.846,0.75,24.0
556,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,55.296,55.896,0.6,30.0
606,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,56.196,56.896,0.7,25.7
629,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,56.646,57.546,0.9,20.0
628,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,56.746,57.546,0.8,22.5
696,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,57.346,58.146,0.8,22.5
784,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,58.846,59.746,0.9,20.0
851,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,59.596,60.446,0.85,21.2
899,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,60.246,61.046,0.8,22.5
938,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,60.696,61.545,0.85,21.2
955,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,60.746,61.395,0.65,27.7
1013,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,61.946,62.695,0.75,24.0
1052,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,62.745,63.845,1.1,16.4
1036,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,62.845,63.695,0.85,21.2
1110,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,63.295,64.045,0.75,24.0
1238,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.2%,64.845,65.695,0.85,21.2
1193,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,65.195,66.095,0.9,20.0
1285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.9%,65.945,66.795,0.85,21.2
1395,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,67.295,68.095,0.8,22.5
1449,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,67.995,68.945,0.95,18.9
1512,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,68.995,69.745,0.75,24.0
1504,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,61.1%,70.045,69.045,1.0,18.0
1520,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,69.445,71.145,1.7,10.6
1573,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.7%,72.745,71.245,1.5,12.0
1655,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,71.445,72.445,1.0,18.0
1695,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,71.795,72.595,0.8,22.5
1743,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.3%,72.845,73.845,1.0,18.0
1877,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,74.645,75.544,0.9,20.0
1882,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.8%,75.294,76.344,1.05,17.1
1961,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,76.744,77.794,1.05,17.1
2008,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,78.144,78.944,0.8,22.5
2146,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.1%,78.844,79.694,0.85,21.2
2064,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.2%,80.294,79.044,1.25,14.4
2176,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,79.644,80.844,1.2,15.0
2319,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,81.644,82.794,1.15,15.7
2402,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,82.244,83.194,0.95,18.9
2403,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,82.394,83.244,0.85,21.2
2449,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,83.444,84.544,1.1,16.4
2564,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.9%,84.444,85.294,0.85,21.2
2611,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.8%,85.594,86.694,1.1,16.4
2650,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.0%,85.744,86.494,0.75,24.0
2633,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,39.1%,88.644,86.244,2.4,7.5
2747,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,87.594,88.444,0.85,21.2
2736,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,87.894,88.894,1.0,18.0
2823,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,88.894,89.594,0.7,25.7
2848,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,89.293,90.194,0.9,20.0
2913,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.4%,90.843,92.243,1.4,12.9
2953,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.2%,90.943,91.943,1.0,18.0
3013,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,43.7%,91.793,92.793,1.0,18.0
3094,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,93.843,94.893,1.05,17.1
3120,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,93.893,94.743,0.85,21.2
3194,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,95.193,96.143,0.95,18.9
3303,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,97.043,97.943,0.9,20.0
3434,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,99.243,99.793,0.55,32.7
3439,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.4%,100.143,101.293,1.15,15.7
3558,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,101.743,102.843,1.1,16.4
3711,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,103.692,104.692,1.0,18.0
3941,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,107.142,107.942,0.8,22.5
3929,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.4%,108.742,107.342,1.4,12.9
4069,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,108.892,109.642,0.75,24.0
4128,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,109.642,110.342,0.7,25.7
4143,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,110.342,111.542,1.2,15.0
4244,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.5%,111.042,111.692,0.65,27.7
4401,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,114.092,115.042,0.95,18.9
4556,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,116.092,116.942,0.85,21.2
4637,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.8%,116.791,117.442,0.65,27.7
4705,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,52.4%,117.791,118.391,0.6,30.0
4722,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,118.141,118.891,0.75,24.0
4771,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,118.441,119.091,0.65,27.7
4877,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,120.241,120.991,0.75,24.0
4898,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.2%,120.641,121.341,0.7,25.7
4996,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,122.791,123.991,1.2,15.0
5153,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.7%,124.891,125.641,0.75,24.0
5161,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,124.941,125.941,1.0,18.0
5306,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.4%,126.991,127.641,0.65,27.7
5426,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.6%,128.791,129.641,0.85,21.2
5431,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,128.891,129.791,0.9,20.0
5542,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.3%,130.291,131.041,0.75,24.0
5717,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,132.54,133.14,0.6,30.0
5739,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.2%,135.04,133.99,1.05,17.1
5864,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,135.09,135.74,0.65,27.7
5991,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.7%,137.34,138.04,0.7,25.7
6082,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,139.94,141.14,1.2,15.0
6163,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,56.5%,141.99,140.94,1.05,17.1
6231,Car / Sedan,2,Sedan / jeep / station wagon,opposite,94.2%,142.94,143.84,0.9,20.0
6417,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,145.939,146.839,0.9,20.0
6496,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,147.189,148.139,0.95,18.9
6530,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.9%,147.539,148.239,0.7,25.7
6608,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,148.889,149.639,0.75,24.0
6745,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,150.689,151.439,0.75,24.0
6799,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,151.489,152.139,0.65,27.7
6953,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,49.1%,154.439,155.739,1.3,13.8
6826,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.1%,155.039,157.189,2.15,8.4
6960,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,65.1%,155.639,157.589,1.95,9.2
7122,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.7%,159.089,157.839,1.25,14.4
7336,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,159.888,160.838,0.95,18.9
7502,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,162.738,163.438,0.7,25.7
7775,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.8%,169.938,168.838,1.1,16.4
8043,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,172.887,175.087,2.2,8.2
8253,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.6%,176.987,175.437,1.55,11.6
8363,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,177.237,178.037,0.8,22.5
8427,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,181.887,180.687,1.2,15.0
8731,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,184.687,185.536,0.85,21.2
8818,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,186.237,187.036,0.8,22.5
8805,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.0%,186.637,188.686,2.05,8.8
9000,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,39.8%,191.436,189.236,2.2,8.2
9086,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,190.936,191.836,0.9,20.0
9356,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,194.886,195.836,0.95,18.9
9679,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.2%,201.235,200.036,1.2,15.0
