track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
7,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.5%,0.9,2.85,1.95,9.2
23,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.9%,2.7,4.25,1.55,11.6
54,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,3.75,5.2,1.45,12.4
11,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.2%,4.5,6.399,1.9,9.5
69,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.8%,5.65,7.25,1.6,11.3
90,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,7.0,8.799,1.8,10.0
97,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.8%,8.049,9.799,1.75,10.3
110,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,9.299,11.149,1.85,9.7
134,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,10.099,11.449,1.35,13.3
147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,10.999,12.549,1.55,11.6
142,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.9%,11.449,12.799,1.35,13.3
152,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,11.749,13.149,1.4,12.9
154,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,12.149,13.549,1.4,12.9
168,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.7%,12.999,14.399,1.4,12.9
174,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.1%,13.749,15.099,1.35,13.3
167,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.0%,13.899,15.299,1.4,12.9
180,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.4%,14.399,15.699,1.3,13.8
157,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,56.7%,14.449,16.849,2.4,7.5
184,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,14.899,16.399,1.5,12.0
188,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,15.449,16.949,1.5,12.0
204,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,16.599,18.099,1.5,12.0
197,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,16.899,18.499,1.6,11.3
215,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,17.649,19.149,1.5,12.0
