track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
15,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,39.2%,2.0,2.9,0.9,20.0
18,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.0%,4.533,2.067,2.467,7.3
17,Public Transportation (Angkot),3,Medium passenger vehicle,normal,78.5%,2.633,3.667,1.033,17.4
33,Bus,5,Bus,normal,77.4%,8.7,9.6,0.9,20.0
36,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.4%,8.933,9.767,0.833,21.6
32,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,86.1%,11.267,9.7,1.567,11.5
60,Car / Sedan,2,Sedan / jeep / station wagon,normal,83.3%,11.267,12.067,0.8,22.5
143,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.4%,15.9,16.567,0.667,27.0
134,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,88.5%,17.8,16.1,1.7,10.6
204,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.1%,20.367,19.667,0.7,25.7
214,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.1%,20.0,20.533,0.533,33.8
265,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,55.5%,22.367,23.633,1.267,14.2
313,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.7%,24.2,24.833,0.633,28.4
348,Car / Sedan,2,Sedan / jeep / station wagon,opposite,69.9%,28.667,27.667,1.0,18.0
388,Car / Sedan,2,Sedan / jeep / station wagon,normal,60.3%,27.7,28.5,0.8,22.5
396,Car / Sedan,2,Sedan / jeep / station wagon,normal,62.1%,28.367,29.167,0.8,22.5
456,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.3%,31.333,32.267,0.933,19.3
471,Car / Sedan,2,Sedan / jeep / station wagon,normal,51.5%,31.4,32.267,0.867,20.8
514,Car / Sedan,2,Sedan / jeep / station wagon,normal,35.5%,32.733,33.533,0.8,22.5
544,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,53.7%,35.067,36.067,1.0,18.0
585,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.3%,35.767,37.8,2.033,8.9
671,Car / Sedan,2,Sedan / jeep / station wagon,normal,44.5%,39.8,40.733,0.933,19.3
676,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.2%,40.033,40.867,0.833,21.6
686,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,45.2%,40.767,41.833,1.067,16.9
734,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.7%,42.067,43.2,1.133,15.9
772,Public Transportation (Angkot),3,Medium passenger vehicle,normal,38.2%,42.9,43.8,0.9,20.0
784,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.2%,44.467,45.433,0.967,18.6
795,Car / Sedan,2,Sedan / jeep / station wagon,normal,83.2%,44.467,45.367,0.9,20.0
798,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.9%,44.9,45.633,0.733,24.5
876,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.5%,48.367,49.267,0.9,20.0
936,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.8%,50.733,52.0,1.267,14.2
939,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.3%,50.767,51.967,1.2,15.0
944,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.4%,52.267,53.067,0.8,22.5
953,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.7%,54.033,52.933,1.1,16.4
1004,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.8%,53.933,54.867,0.933,19.3
1019,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,73.8%,57.533,59.367,1.833,9.8
1135,Bus,5,Bus,normal,48.5%,58.933,60.0,1.067,16.9
1250,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.3%,64.433,65.4,0.967,18.6
1253,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,68.4%,65.433,67.033,1.6,11.3
1275,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,64.2%,65.833,66.867,1.033,17.4
1314,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.9%,68.633,69.8,1.167,15.4
1360,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.6%,69.833,71.033,1.2,15.0
