track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
4,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.5%,0.0,0.533,0.533,33.8
2,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,86.4%,2.867,0.533,2.333,7.7
19,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.8%,1.467,2.233,0.767,23.5
18,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.3%,3.467,1.833,1.633,11.0
16,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.1%,2.933,3.667,0.733,24.5
51,Car / Sedan,2,Sedan / jeep / station wagon,normal,56.2%,8.833,9.567,0.733,24.5
58,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.3%,9.1,9.667,0.567,31.8
105,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,78.1%,11.133,12.0,0.867,20.8
278,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.2%,15.5,16.233,0.733,24.5
241,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,84.8%,17.367,16.0,1.367,13.2
338,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.0%,18.0,18.733,0.733,24.5
327,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.5%,20.5,18.167,2.333,7.7
369,Car / Sedan,2,Sedan / jeep / station wagon,opposite,49.4%,21.933,19.6,2.333,7.7
347,Public Transportation (Angkot),3,Medium passenger vehicle,normal,88.3%,19.9,20.567,0.667,27.0
491,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.9%,24.667,25.3,0.633,28.4
490,Bus,5,Bus,opposite,91.8%,25.9,25.1,0.8,22.5
527,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.5%,26.233,26.933,0.7,25.7
662,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.3%,30.267,30.933,0.667,27.0
679,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.0%,30.533,31.267,0.733,24.5
659,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.9%,31.5,30.7,0.8,22.5
645,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,90.2%,31.7,30.8,0.9,20.0
687,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.1%,34.2,31.867,2.333,7.7
718,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.6%,32.467,33.133,0.667,27.0
744,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.1%,34.233,33.4,0.833,21.6
767,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.2%,33.467,34.2,0.733,24.5
790,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.0%,34.467,35.0,0.533,33.8
843,Public Transportation (Angkot),3,Medium passenger vehicle,normal,43.5%,36.833,37.467,0.633,28.4
868,Car / Sedan,2,Sedan / jeep / station wagon,normal,39.0%,37.867,38.5,0.633,28.4
863,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.5%,38.867,39.5,0.633,28.4
883,Car / Sedan,2,Sedan / jeep / station wagon,opposite,69.5%,41.233,38.9,2.333,7.7
877,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.9%,38.933,39.533,0.6,30.0
919,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.6%,40.267,41.0,0.733,24.5
997,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.2%,43.733,44.4,0.667,27.0
1006,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.0%,44.1,44.667,0.567,31.8
1084,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.6%,46.667,47.2,0.533,33.8
1090,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.0%,50.5,48.667,1.833,9.8
1160,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.4%,48.733,49.467,0.733,24.5
1153,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.9%,52.2,49.867,2.333,7.7
1176,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.1%,52.633,50.3,2.333,7.7
