track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
13,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.7%,6.399,0.7,5.7,3.2
44,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,54.4%,1.5,2.7,1.2,15.0
5,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.1%,2.3,3.5,1.2,15.0
32,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.3%,10.949,3.3,7.649,2.4
116,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,3.6,4.45,0.85,21.2
129,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.9%,5.6,6.75,1.15,15.7
192,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.6%,5.6,6.75,1.15,15.7
205,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,6.599,7.999,1.4,12.9
266,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.7%,7.849,8.699,0.85,21.2
186,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.8%,7.899,10.599,2.7,6.7
320,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.7%,11.049,13.149,2.1,8.6
337,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,38.7%,17.399,11.049,6.35,2.8
140,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,52.6%,13.049,14.299,1.25,14.4
147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,93.4%,15.099,17.699,2.6,6.9
341,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,18.199,19.799,1.6,11.3
264,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.8%,18.599,21.299,2.7,6.7
363,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,56.4%,19.499,20.998,1.5,12.0
415,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.8%,20.299,21.898,1.6,11.3
106,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.9%,22.198,23.348,1.15,15.7
159,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.7%,22.798,24.248,1.45,12.4
170,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.3%,25.548,27.048,1.5,12.0
177,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,27.698,28.948,1.25,14.4
183,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.1%,28.398,29.598,1.2,15.0
268,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,29.298,30.548,1.25,14.4
346,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.2%,31.398,32.898,1.5,12.0
450,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.4%,31.698,33.898,2.2,8.2
477,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,32.548,33.847,1.3,13.8
527,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.4%,33.947,35.297,1.35,13.3
