track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
115,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.8%,5.767,4.567,1.2,15.0
170,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.6%,5.267,6.333,1.067,16.9
208,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.2%,7.2,8.033,0.833,21.6
169,3-Axle Truck (Jumbo),7,3-Axle Truck,normal,61.9%,7.667,9.867,2.2,8.2
280,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.1%,8.7,9.567,0.867,20.8
320,3-Axle Truck (Jumbo),7,3-Axle Truck,opposite,84.3%,13.1,11.267,1.833,9.8
354,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.5%,11.667,12.733,1.067,16.9
393,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.3%,15.1,13.933,1.167,15.4
430,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.1%,14.2,15.267,1.067,16.9
454,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.8%,16.633,17.267,0.633,28.4
483,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,64.4%,19.367,20.867,1.5,12.0
608,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,74.5%,22.1,23.633,1.533,11.7
685,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,80.2%,25.667,27.0,1.333,13.5
756,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,50.0%,29.633,27.267,2.367,7.6
775,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,63.7%,29.133,27.933,1.2,15.0
810,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,80.9%,28.467,29.867,1.4,12.9
924,Bus,5,Bus,opposite,87.4%,35.7,34.8,0.9,20.0
907,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,78.4%,36.033,37.467,1.433,12.6
996,Public Transportation (Angkot),3,Medium passenger vehicle,normal,32.5%,36.767,37.7,0.933,19.3
1183,Car / Sedan,2,Sedan / jeep / station wagon,normal,52.8%,42.467,43.267,0.8,22.5
1194,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.8%,43.033,43.7,0.667,27.0
