track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
1,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.6%,0.364,0.136,0.227,79.2
2,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.4%,2.818,2.546,0.273,66.0
8,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.4%,3.227,2.954,0.273,66.0
7,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.5%,4.227,4.0,0.227,79.2
4,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.4%,5.5,5.182,0.318,56.6
33,Public Transportation (Angkot),3,Medium passenger vehicle,normal,84.6%,7.273,7.045,0.227,79.2
43,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,7.636,7.909,0.273,66.0
12,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,9.318,9.046,0.273,66.0
47,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.3%,11.182,11.409,0.227,79.2
48,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,11.864,11.546,0.318,56.6
45,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.9%,14.182,13.546,0.636,28.3
59,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,14.182,14.318,0.136,132.0
73,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,14.273,14.454,0.182,99.0
69,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.8%,16.091,15.727,0.364,49.5
129,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.4%,15.773,15.954,0.182,99.0
136,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.6%,16.0,16.182,0.182,99.0
125,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,16.182,16.364,0.182,99.0
10,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.3%,17.364,16.909,0.455,39.6
195,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.0%,19.046,19.409,0.364,49.5
241,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,19.864,20.136,0.273,66.0
199,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.5%,20.182,19.909,0.273,66.0
259,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,21.409,20.954,0.455,39.6
285,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.9%,23.546,23.273,0.273,66.0
337,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,23.5,23.773,0.273,66.0
363,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.9%,24.273,23.954,0.318,56.6
381,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.3%,25.364,25.091,0.273,66.0
430,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,25.727,26.0,0.273,66.0
452,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,26.5,26.818,0.318,56.6
478,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.0%,27.0,27.273,0.273,66.0
453,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.0%,27.546,27.227,0.318,56.6
495,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.5%,27.818,28.091,0.273,66.0
493,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,27.954,28.318,0.364,49.5
521,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.0%,29.046,29.364,0.318,56.6
522,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.0%,30.0,30.409,0.409,44.0
