track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
2,Car / Sedan,2,Sedan / jeep / station wagon,normal,49.5%,0.0,0.2,0.2,89.9
23,Car / Sedan,2,Sedan / jeep / station wagon,normal,68.8%,1.602,2.135,0.534,33.7
20,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.8%,2.769,3.337,0.567,31.7
35,Car / Sedan,2,Sedan / jeep / station wagon,opposite,48.5%,3.604,4.238,0.634,28.4
36,Car / Sedan,2,Sedan / jeep / station wagon,opposite,50.5%,3.937,6.707,2.769,6.5
40,Car / Sedan,2,Sedan / jeep / station wagon,opposite,64.8%,4.238,7.007,2.769,6.5
45,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.1%,4.271,4.805,0.534,33.7
46,Car / Sedan,2,Sedan / jeep / station wagon,opposite,57.8%,4.271,7.04,2.769,6.5
51,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.9%,4.671,5.205,0.534,33.7
43,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.7%,4.938,5.539,0.601,30.0
48,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.1%,5.372,6.006,0.634,28.4
61,Car / Sedan,2,Sedan / jeep / station wagon,normal,46.7%,5.472,6.006,0.534,33.7
