track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
9,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.1%,3.55,0.5,3.05,5.9
11,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.3%,4.75,2.0,2.75,6.5
37,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,4.9,2.5,2.4,7.5
30,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.7%,5.899,3.9,2.0,9.0
192,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,4.3,4.8,0.5,36.0
64,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.1%,6.399,4.35,2.05,8.8
118,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.2%,5.649,4.5,1.15,15.7
13,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.9%,6.55,5.2,1.35,13.3
368,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.0%,8.349,6.3,2.05,8.8
281,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.9%,7.949,6.75,1.2,15.0
132,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.4%,8.849,7.499,1.35,13.3
583,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.5%,11.949,8.499,3.45,5.2
677,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,9.649,10.099,0.45,40.0
735,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,10.249,10.749,0.5,36.0
754,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,10.349,10.849,0.5,36.0
592,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,11.299,10.349,0.95,18.9
812,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,10.999,11.499,0.5,36.0
481,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.0%,15.349,11.099,4.25,4.2
668,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.7%,13.299,12.049,1.25,14.4
902,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,12.149,12.649,0.5,36.0
931,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.7%,12.599,13.599,1.0,18.0
881,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.3%,14.099,12.899,1.2,15.0
1014,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.7%,17.998,13.799,4.2,4.3
1062,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.8%,16.649,14.149,2.5,7.2
1139,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,14.549,15.099,0.55,32.7
976,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.2%,18.498,15.099,3.4,5.3
1236,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,15.499,16.049,0.55,32.7
1298,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,15.899,16.499,0.6,30.0
1370,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,16.399,16.949,0.55,32.7
1053,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,90.9%,20.848,16.549,4.3,4.2
1413,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,16.999,17.449,0.45,40.0
1469,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,17.649,18.198,0.55,32.7
1264,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,17.899,19.298,1.4,12.9
1196,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.7%,23.098,19.598,3.5,5.1
1728,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.1%,20.048,21.698,1.65,10.9
1593,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,20.648,22.198,1.55,11.6
1478,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,63.0%,24.148,20.748,3.4,5.3
1813,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.9%,20.998,21.948,0.95,18.9
1704,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,21.148,22.898,1.75,10.3
1764,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.9%,24.198,22.048,2.15,8.4
1937,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,22.298,23.298,1.0,18.0
2017,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.8%,23.248,24.198,0.95,18.9
2035,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,23.398,24.198,0.8,22.5
2077,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,23.498,24.248,0.75,24.0
1709,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.8%,25.798,23.948,1.85,9.7
2108,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,23.998,24.598,0.6,30.0
2166,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,24.798,25.448,0.65,27.7
2269,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,25.748,26.598,0.85,21.2
2278,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,27.098,25.898,1.2,15.0
2337,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,26.448,26.998,0.55,32.7
2374,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,27.048,27.798,0.75,24.0
2314,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,50.2%,28.148,27.048,1.1,16.4
2429,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,27.448,28.198,0.75,24.0
