track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
1,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,1.15,2.95,1.8,10.0
19,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,4.2,5.05,0.85,21.2
10,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.7%,8.7,9.3,0.6,30.0
4,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.7%,9.55,10.099,0.55,32.7
33,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,89.5%,11.549,9.749,1.8,10.0
134,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.8%,13.949,12.849,1.1,16.4
311,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,13.199,13.899,0.7,25.7
428,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.8%,14.499,15.149,0.65,27.7
436,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.7%,17.649,15.349,2.3,7.8
660,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,17.249,17.899,0.65,27.7
848,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,19.349,19.999,0.65,27.7
1178,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,23.149,23.849,0.7,25.7
1218,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,88.3%,25.398,24.849,0.55,32.7
1077,Public Transportation (Angkot),3,Medium passenger vehicle,normal,90.0%,28.448,26.748,1.7,10.6
1641,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,51.3%,30.098,27.948,2.15,8.4
1665,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.5%,28.598,30.048,1.45,12.4
1734,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,89.7%,28.598,29.348,0.75,24.0
2056,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.6%,33.548,32.798,0.75,24.0
2231,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,58.7%,35.898,34.198,1.7,10.6
2391,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.2%,38.648,36.798,1.85,9.7
2519,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.3%,39.698,37.598,2.1,8.6
2714,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.0%,40.548,39.598,0.95,18.9
2749,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.5%,40.748,39.948,0.8,22.5
2639,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,86.0%,40.948,40.148,0.8,22.5
2819,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,65.2%,42.998,41.648,1.35,13.3
2921,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.6%,43.297,42.248,1.05,17.1
3241,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.0%,47.697,46.747,0.95,18.9
3335,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.9%,51.597,49.397,2.2,8.2
3627,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.6%,51.197,50.247,0.95,18.9
4095,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,52.797,53.597,0.8,22.5
3888,Public Transportation (Angkot),3,Medium passenger vehicle,normal,92.4%,55.347,53.947,1.4,12.9
4360,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.2%,55.297,56.097,0.8,22.5
4442,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.4%,59.997,56.897,3.1,5.8
4428,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.1%,57.947,57.197,0.75,24.0
4560,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.4%,59.447,58.647,0.8,22.5
4716,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.7%,60.496,59.697,0.8,22.5
4789,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.2%,64.096,61.746,2.35,7.7
4933,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.5%,63.646,61.846,1.8,10.0
4996,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.2%,63.696,62.696,1.0,18.0
5056,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.0%,64.746,63.096,1.65,10.9
5152,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.9%,64.496,63.696,0.8,22.5
5320,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.6%,65.196,64.546,0.65,27.7
5233,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.4%,65.946,65.146,0.8,22.5
5445,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.8%,66.446,65.646,0.8,22.5
5466,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,87.5%,67.396,66.646,0.75,24.0
