track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
800000,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,41.8%,0.3,0.9,0.6,30.0
58,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.2%,0.95,1.25,0.3,60.0
800002,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,58.7%,5.25,5.4,0.15,120.0
283,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.8%,10.3,10.6,0.3,60.0
342,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.6%,12.499,13.05,0.55,32.7
800006,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,29.9%,16.049,14.1,1.95,9.2
491,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,16.849,17.199,0.35,51.4
800009,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.8%,22.799,22.949,0.15,120.0
652,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.9%,24.049,24.349,0.3,60.0
800010,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,11.5%,26.399,25.799,0.6,30.0
728,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.7%,25.949,26.249,0.3,60.0
725,Car / Sedan,2,Sedan / jeep / station wagon,opposite,53.4%,26.199,26.499,0.3,60.0
879,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,34.899,35.249,0.35,51.4
906,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,46.0%,35.549,35.899,0.35,51.4
980,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.9%,38.548,38.849,0.3,60.0
800014,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.6%,38.849,38.998,0.15,120.0
1007,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.7%,40.098,40.398,0.3,60.0
1048,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,40.848,41.148,0.3,60.0
1091,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.6%,42.698,42.948,0.25,72.0
1118,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.9%,43.648,43.948,0.3,60.0
1224,Car / Sedan,2,Sedan / jeep / station wagon,opposite,71.9%,45.798,46.098,0.3,60.0
1292,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.7%,49.898,50.298,0.4,45.0
1328,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.2%,51.098,51.298,0.2,90.0
1334,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,51.798,52.148,0.35,51.4
1468,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.6%,57.248,57.498,0.25,72.0
1495,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.2%,58.348,58.648,0.3,60.0
1549,Car / Sedan,2,Sedan / jeep / station wagon,opposite,59.8%,60.248,60.498,0.25,72.0
1584,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.3%,60.848,61.148,0.3,60.0
1666,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,75.8%,64.047,64.347,0.3,60.0
1730,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.3%,66.797,67.097,0.3,60.0
1891,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.6%,72.647,72.947,0.3,60.0
800023,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,57.4%,73.647,72.747,0.9,20.0
1941,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,55.1%,74.797,75.097,0.3,60.0
800025,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,14.3%,78.897,79.197,0.3,60.0
2036,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.5%,79.647,79.947,0.3,60.0
2124,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.7%,85.147,85.497,0.35,51.4
2179,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.3%,86.897,87.197,0.3,60.0
2254,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.7%,89.296,89.597,0.3,60.0
2374,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.1%,94.146,94.446,0.3,60.0
800029,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,39.9%,95.696,94.946,0.75,24.0
2436,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.6%,95.846,96.146,0.3,60.0
2428,Car / Sedan,2,Sedan / jeep / station wagon,opposite,73.7%,96.196,96.546,0.35,51.4
2509,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.4%,100.146,100.496,0.35,51.4
2734,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,65.1%,108.696,108.996,0.3,60.0
2822,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.2%,111.446,111.696,0.25,72.0
2818,Car / Sedan,2,Sedan / jeep / station wagon,opposite,59.2%,111.746,111.946,0.2,90.0
2843,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.6%,112.496,112.796,0.3,60.0
3353,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.7%,127.945,128.395,0.45,40.0
3421,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,52.3%,130.295,130.745,0.45,40.0
3554,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.8%,134.745,135.095,0.35,51.4
3619,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.1%,135.995,136.295,0.3,60.0
800037,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,21.9%,140.994,141.144,0.15,120.0
3840,Car / Sedan,2,Sedan / jeep / station wagon,opposite,73.0%,143.294,143.494,0.2,90.0
800038,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,55.3%,144.594,144.894,0.3,60.0
3884,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.2%,144.994,145.294,0.3,60.0
3910,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.7%,146.194,146.494,0.3,60.0
3996,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.3%,148.944,149.294,0.35,51.4
3998,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.5%,148.944,149.194,0.25,72.0
800040,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,25.8%,150.144,150.444,0.3,60.0
4107,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.0%,151.594,151.844,0.25,72.0
4105,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,56.3%,151.744,152.244,0.5,36.0
4208,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,81.3%,154.944,155.194,0.25,72.0
4246,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,78.7%,155.544,155.844,0.3,60.0
4385,Car / Sedan,2,Sedan / jeep / station wagon,opposite,76.8%,160.044,160.344,0.3,60.0
800044,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,44.7%,161.394,161.094,0.3,60.0
4519,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.4%,164.794,165.244,0.45,40.0
4647,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.6%,167.944,168.244,0.3,60.0
4717,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.7%,168.993,169.293,0.3,60.0
4745,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.0%,171.293,171.593,0.3,60.0
4819,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.1%,174.093,174.393,0.3,60.0
800050,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,10.8%,178.493,180.293,1.8,10.0
5025,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.5%,179.843,180.243,0.4,45.0
5081,Car / Sedan,2,Sedan / jeep / station wagon,opposite,75.3%,180.993,181.243,0.25,72.0
5173,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.0%,183.543,183.843,0.3,60.0
800053,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,50.6%,193.343,193.493,0.15,120.0
5696,Car / Sedan,2,Sedan / jeep / station wagon,opposite,57.7%,199.592,199.842,0.25,72.0
5722,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,200.992,201.442,0.45,40.0
800055,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,23.0%,206.692,203.992,2.7,6.7
6017,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,55.9%,211.892,212.592,0.7,25.7
800057,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,48.7%,217.192,212.092,5.1,3.5
6127,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.9%,215.842,216.242,0.4,45.0
6245,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.0%,218.941,219.142,0.2,90.0
6368,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.3%,223.191,223.441,0.25,72.0
6400,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.0%,223.641,223.941,0.3,60.0
6449,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.4%,226.641,226.941,0.3,60.0
6709,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.4%,234.591,234.891,0.3,60.0
800064,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.8%,234.741,235.491,0.75,24.0
6792,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.9%,236.791,237.091,0.3,60.0
6936,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.3%,242.291,242.541,0.25,72.0
7092,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,65.9%,246.39,246.69,0.3,60.0
7184,Bus,5,Bus,opposite,80.5%,248.94,249.24,0.3,60.0
800068,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,33.7%,251.54,251.69,0.15,120.0
7300,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.1%,252.74,252.94,0.2,90.0
7340,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.9%,253.94,254.29,0.35,51.4
7464,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,258.09,258.39,0.3,60.0
7509,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,90.0%,259.79,260.04,0.25,72.0
7610,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,263.14,263.59,0.45,40.0
800074,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,46.2%,266.09,266.69,0.6,30.0
