track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.8%,5.333,3.433,1.9,9.5
8,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.1%,4.333,5.7,1.367,13.2
21,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.3%,16.733,15.2,1.533,11.7
47,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,89.9%,22.233,20.367,1.867,9.6
50,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.2%,22.467,20.667,1.8,10.0
144,Public Transportation (Angkot),3,Medium passenger vehicle,normal,36.9%,29.833,31.233,1.4,12.9
210,Bus,5,Bus,normal,51.9%,33.167,34.5,1.333,13.5
257,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,63.8%,40.367,36.5,3.867,4.7
329,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.1%,39.067,40.2,1.133,15.9
333,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.3%,41.6,40.033,1.567,11.5
361,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.9%,40.7,41.867,1.167,15.4
453,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.7%,45.567,46.833,1.267,14.2
508,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.9%,48.8,47.2,1.6,11.3
655,Car / Sedan,2,Sedan / jeep / station wagon,normal,36.5%,53.533,54.467,0.933,19.3
744,Car / Sedan,2,Sedan / jeep / station wagon,normal,58.4%,55.767,56.8,1.033,17.4
832,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,79.8%,63.7,61.5,2.2,8.2
952,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,90.0%,68.767,66.967,1.8,10.0
980,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.3%,67.667,68.833,1.167,15.4
992,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,87.3%,71.167,73.233,2.067,8.7
1053,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.1%,73.967,71.667,2.3,7.8
1102,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,67.9%,73.6,75.467,1.867,9.6
1162,Car / Sedan,2,Sedan / jeep / station wagon,normal,52.1%,74.767,75.867,1.1,16.4
1191,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.3%,75.733,77.067,1.333,13.5
1218,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,51.5%,77.3,79.167,1.867,9.6
1216,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,84.4%,78.0,79.767,1.767,10.2
1256,Car / Sedan,2,Sedan / jeep / station wagon,normal,50.8%,80.2,81.767,1.567,11.5
1286,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.6%,81.333,82.8,1.467,12.3
1267,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,64.5%,82.2,84.267,2.067,8.7
1304,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,85.2%,85.2,83.333,1.867,9.6
1333,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.0%,83.6,85.167,1.567,11.5
1487,3-Axle Truck (Jumbo),7,3-Axle Truck,normal,64.0%,91.867,94.933,3.067,5.9
1572,Car / Sedan,2,Sedan / jeep / station wagon,normal,36.9%,95.8,97.133,1.333,13.5
1762,Car / Sedan,2,Sedan / jeep / station wagon,normal,50.5%,107.267,108.5,1.233,14.6
1782,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.7%,108.567,109.933,1.367,13.2
1797,Car / Sedan,2,Sedan / jeep / station wagon,normal,60.1%,109.367,110.5,1.133,15.9
1866,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,67.3%,113.6,115.2,1.6,11.2
1909,Car / Sedan,2,Sedan / jeep / station wagon,normal,47.1%,115.167,116.633,1.467,12.3
1939,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,60.3%,119.167,117.533,1.633,11.0
1968,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,45.4%,118.1,119.633,1.533,11.7
1987,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.4%,119.2,120.567,1.367,13.2
2006,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,58.9%,120.933,122.467,1.533,11.7
2040,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.0%,123.3,121.967,1.333,13.5
2060,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,86.9%,124.367,125.867,1.5,12.0
2137,Bus,5,Bus,normal,73.8%,126.967,128.567,1.6,11.3
2128,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,90.8%,129.867,127.733,2.133,8.4
