track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
36033,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,801.436,803.785,2.35,7.7
36441,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.9%,806.685,805.435,1.25,14.4
36634,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.0%,809.985,808.685,1.3,13.8
36650,Public Transportation (Angkot),3,Medium passenger vehicle,normal,83.3%,811.985,810.285,1.7,10.6
36776,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.0%,813.235,811.535,1.7,10.6
36831,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.8%,814.184,812.685,1.5,12.0
36910,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.7%,815.484,813.784,1.7,10.6
36988,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.0%,817.184,815.284,1.9,9.5
37150,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.7%,820.584,818.034,2.55,7.1
37250,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.3%,823.184,819.834,3.35,5.4
38384,Public Transportation (Angkot),3,Medium passenger vehicle,normal,88.0%,849.032,845.182,3.85,4.7
38682,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,56.5%,849.682,852.481,2.8,6.4
39709,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,35.4%,863.88,865.53,1.65,10.9
39728,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.8%,873.43,863.981,9.449,1.9
39724,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.3%,864.38,866.28,1.9,9.5
39676,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,864.53,866.18,1.65,10.9
39423,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,865.38,866.93,1.55,11.6
39824,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.3%,865.93,867.08,1.15,15.7
39856,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,866.58,868.33,1.75,10.3
39907,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,45.2%,867.38,868.78,1.4,12.9
39807,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,868.18,870.08,1.9,9.5
39997,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.5%,868.98,870.43,1.45,12.4
39981,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,869.53,871.48,1.95,9.2
40043,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,869.88,871.23,1.35,13.3
40125,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.1%,871.23,872.48,1.25,14.4
40047,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,871.68,873.73,2.05,8.8
40248,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.1%,878.379,873.28,5.1,3.5
40247,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.9%,873.43,874.68,1.25,14.4
40279,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.8%,874.13,875.679,1.55,11.6
40233,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,94.0%,875.18,877.979,2.8,6.4
40161,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.5%,880.979,875.48,5.5,3.3
40397,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,876.33,878.879,2.55,7.1
40320,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,877.029,880.079,3.05,5.9
40583,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.5%,882.779,879.079,3.7,4.9
40607,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.1%,879.829,881.579,1.75,10.3
40539,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.7%,880.429,883.229,2.8,6.4
40603,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,881.079,882.929,1.85,9.7
40646,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,881.179,883.929,2.75,6.5
40772,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,75.6%,884.079,887.329,3.25,5.5
40832,Bus,5,Bus,opposite,86.1%,885.579,887.079,1.5,12.0
40979,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.9%,887.279,889.778,2.5,7.2
41049,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,91.6%,888.379,889.928,1.55,11.6
41211,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,889.728,891.878,2.15,8.4
41080,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,889.928,892.278,2.35,7.7
41352,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.3%,892.878,891.128,1.75,10.3
41427,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.8%,894.528,892.428,2.1,8.6
41440,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,892.828,894.778,1.95,9.2
41401,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,50.5%,895.178,893.428,1.75,10.3
41605,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.6%,895.828,894.378,1.45,12.4
41612,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,895.128,896.778,1.65,10.9
41668,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.9%,899.428,895.728,3.7,4.9
41781,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.2%,897.378,898.778,1.4,12.9
41919,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.8%,898.278,899.728,1.45,12.4
42026,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.5%,899.378,900.778,1.4,12.9
42121,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.0%,901.128,902.377,1.25,14.4
42216,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,901.827,903.127,1.3,13.8
42201,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,901.977,903.777,1.8,10.0
42245,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,902.177,903.327,1.15,15.7
42170,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,904.727,907.077,2.35,7.7
42458,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,906.027,907.527,1.5,12.0
42499,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,906.577,908.477,1.9,9.5
42544,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,907.527,909.027,1.5,12.0
42558,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,908.427,909.727,1.3,13.8
42769,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.6%,910.427,911.727,1.3,13.8
42946,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.9%,912.777,914.076,1.3,13.8
43071,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,913.777,915.026,1.25,14.4
43083,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.8%,914.926,916.426,1.5,12.0
43147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,915.426,917.076,1.65,10.9
43233,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.4%,916.176,917.226,1.05,17.1
43279,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,917.776,919.226,1.45,12.4
43336,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.3%,921.876,918.826,3.05,5.9
43466,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,920.426,921.826,1.4,12.9
43518,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,65.9%,923.426,921.876,1.55,11.6
43580,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.4%,924.076,922.426,1.65,10.9
43689,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.4%,925.275,923.376,1.9,9.5
43707,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.2%,926.226,924.226,2.0,9.0
43737,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,47.5%,926.375,924.326,2.05,8.8
43811,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.0%,927.475,924.976,2.5,7.2
43840,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.0%,928.175,925.775,2.4,7.5
43771,Public Transportation (Angkot),3,Medium passenger vehicle,normal,92.0%,930.575,926.975,3.6,5.0
43858,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.7%,933.175,929.275,3.9,4.6
44289,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,931.625,932.425,0.8,22.5
44043,Car / Sedan,2,Sedan / jeep / station wagon,normal,83.5%,935.075,931.925,3.15,5.7
44265,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,932.775,933.975,1.2,15.0
44375,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.7%,932.775,934.075,1.3,13.8
44296,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.7%,934.175,935.475,1.3,13.8
44520,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.2%,937.774,934.825,2.95,6.1
44466,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.2%,935.675,934.875,0.8,22.5
44116,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,82.2%,938.324,935.175,3.15,5.7
44678,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,937.525,938.375,0.85,21.2
44290,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.4%,941.374,938.274,3.1,5.8
44820,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,939.574,940.474,0.9,20.0
44860,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,940.174,940.924,0.75,24.0
44510,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.1%,943.574,940.924,2.65,6.8
44914,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.8%,941.024,941.824,0.8,22.5
44970,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,941.824,942.624,0.8,22.5
45067,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,943.074,943.674,0.6,30.0
45088,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,943.424,944.124,0.7,25.7
45112,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,943.774,944.424,0.65,27.7
45054,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,948.124,944.274,3.85,4.7
45183,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,944.524,945.174,0.65,27.7
45048,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.2%,948.574,944.824,3.75,4.8
45167,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,944.924,945.724,0.8,22.5
45259,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,945.774,946.424,0.65,27.7
45285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.5%,945.974,946.624,0.65,27.7
45350,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,946.974,947.624,0.65,27.7
45380,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,946.974,947.724,0.75,24.0
45416,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.5%,950.973,948.374,2.6,6.9
45224,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.9%,951.723,948.574,3.15,5.7
45543,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,949.874,950.573,0.7,25.7
45318,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,950.173,951.923,1.75,10.3
45610,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,951.173,952.373,1.2,15.0
45467,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,951.373,953.573,2.2,8.2
45579,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.3%,953.473,951.473,2.0,9.0
45659,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,951.823,952.773,0.95,18.9
45488,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.6%,954.773,952.623,2.15,8.4
45734,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,952.973,954.273,1.3,13.8
45788,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.9%,953.223,954.323,1.1,16.4
45760,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,953.373,954.623,1.25,14.4
45868,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.2%,956.123,954.623,1.5,12.0
45592,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.4%,957.323,955.373,1.95,9.2
45939,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,956.173,957.323,1.15,15.7
45996,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,957.223,958.373,1.15,15.7
46006,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,957.373,958.473,1.1,16.4
45990,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.6%,959.173,957.623,1.55,11.6
