track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
22,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.9%,2.4,1.1,1.3,13.8
46,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.3%,4.0,3.0,1.0,18.0
63,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.5%,5.2,3.45,1.75,10.3
73,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,57.2%,5.1,3.8,1.3,13.8
166,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,7.65,8.45,0.8,22.5
61,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.8%,12.049,10.949,1.1,16.4
229,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,15.799,16.549,0.75,24.0
235,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,67.2%,16.149,17.949,1.8,10.0
277,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,17.099,17.999,0.9,20.0
225,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,47.9%,17.249,18.849,1.6,11.3
270,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,17.849,18.699,0.85,21.2
310,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,18.449,19.999,1.55,11.6
77,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.9%,29.198,20.499,8.7,2.1
101,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,20.949,21.899,0.95,18.9
102,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,20.949,21.799,0.85,21.2
289,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,25.299,26.549,1.25,14.4
382,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.9%,27.148,27.698,0.55,32.7
138,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,30.548,31.148,0.6,30.0
137,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,56.6%,30.598,32.098,1.5,12.0
150,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,35.698,36.598,0.9,20.0
288,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,43.0%,39.498,37.848,1.65,10.9
352,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,38.348,39.648,1.3,13.8
441,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.2%,41.548,39.298,2.25,8.0
475,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,39.898,40.998,1.1,16.4
736,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.9%,44.547,43.697,0.85,21.2
807,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.9%,46.147,45.347,0.8,22.5
852,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.8%,45.897,46.747,0.85,21.2
916,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,54.2%,49.247,46.647,2.6,6.9
929,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,46.697,47.447,0.75,24.0
991,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.7%,47.697,49.297,1.6,11.3
1030,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.9%,48.347,49.147,0.8,22.5
1092,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,38.2%,52.297,50.397,1.9,9.5
1223,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.2%,53.097,51.247,1.85,9.7
1039,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.0%,51.647,53.697,2.05,8.8
1559,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,56.097,57.297,1.2,15.0
1790,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.6%,60.647,59.497,1.15,15.7
1920,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,61.897,62.696,0.8,22.5
2046,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.5%,64.446,63.746,0.7,25.7
2553,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,70.796,71.396,0.6,30.0
2608,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.3%,72.846,73.946,1.1,16.4
2867,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.4%,77.746,76.196,1.55,11.6
2901,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.3%,78.046,77.146,0.9,20.0
3251,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.6%,83.695,82.745,0.95,18.9
3449,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.4%,89.295,87.545,1.75,10.3
3637,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,89.395,90.345,0.95,18.9
3646,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.8%,91.345,89.745,1.6,11.3
3828,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.4%,92.095,92.695,0.6,30.0
3864,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,92.545,93.095,0.55,32.7
3862,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.3%,94.645,92.895,1.75,10.3
3956,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,93.995,94.595,0.6,30.0
4022,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,94.795,95.495,0.7,25.7
3940,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.6%,98.144,95.495,2.65,6.8
4075,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,95.695,96.394,0.7,25.7
4078,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,29.7%,99.544,96.794,2.75,6.5
4201,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,97.094,97.644,0.55,32.7
4081,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.2%,98.144,99.744,1.6,11.3
4310,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,98.744,100.744,2.0,9.0
4351,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.5%,99.594,101.194,1.6,11.3
4324,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,100.244,101.744,1.5,12.0
4511,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,102.144,102.994,0.85,21.2
4493,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.1%,103.494,102.344,1.15,15.7
4633,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.1%,103.344,103.994,0.65,27.7
4682,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.5%,104.244,104.844,0.6,30.0
4706,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,104.544,105.244,0.7,25.7
4710,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.7%,104.544,105.244,0.7,25.7
4762,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,105.244,105.994,0.75,24.0
4924,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,74.6%,109.544,108.544,1.0,18.0
4968,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,108.644,109.344,0.7,25.7
5087,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.1%,110.844,111.544,0.7,25.7
5022,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,60.4%,112.894,110.894,2.0,9.0
5151,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,111.544,112.244,0.7,25.7
5077,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,111.844,112.694,0.85,21.2
5192,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,54.7%,113.394,111.944,1.45,12.4
5280,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,113.293,113.993,0.7,25.7
5307,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,41.6%,114.893,113.644,1.25,14.4
5121,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,114.043,115.943,1.9,9.5
5383,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.2%,114.943,115.793,0.85,21.2
5390,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.2%,116.743,115.593,1.15,15.7
5611,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,54.5%,117.993,118.793,0.8,22.5
5714,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,119.843,120.643,0.8,22.5
5805,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,89.6%,127.293,122.693,4.6,3.9
5947,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.0%,124.343,123.743,0.6,30.0
5985,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,124.243,125.093,0.85,21.2
6048,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,125.843,126.993,1.15,15.7
6102,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,126.643,127.393,0.75,24.0
6134,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,127.443,128.143,0.7,25.7
6005,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.4%,136.542,127.743,8.8,2.0
6172,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,128.043,128.843,0.8,22.5
6277,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.5%,130.993,132.192,1.2,15.0
6467,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,133.742,134.592,0.85,21.2
6145,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.6%,139.842,134.742,5.1,3.5
