track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
5,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,0.25,2.25,2.0,9.0
7,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,0.5,1.5,1.0,18.0
11,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,1.15,3.15,2.0,9.0
32,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,1.85,3.1,1.25,14.4
88,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.3%,3.15,4.5,1.35,13.3
13,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,4.15,6.4,2.25,8.0
183,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,4.65,5.8,1.15,15.7
73,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.3%,6.2,7.6,1.4,12.9
164,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.9%,6.8,7.95,1.15,15.7
55,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.5%,7.25,8.95,1.7,10.6
154,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,7.6,8.75,1.15,15.7
145,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.5%,9.899,7.65,2.25,8.0
100,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.0%,8.0,9.649,1.65,10.9
188,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,8.85,10.35,1.5,12.0
255,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,8.85,9.85,1.0,18.0
269,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,70.3%,11.149,9.649,1.5,12.0
312,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.9%,10.3,12.399,2.1,8.6
256,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,11.099,12.699,1.6,11.2
392,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.8%,11.349,12.999,1.65,10.9
262,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.6%,13.899,11.499,2.4,7.5
455,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,11.799,13.099,1.3,13.8
496,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,12.299,14.049,1.75,10.3
509,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,12.549,13.949,1.4,12.9
572,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,13.649,15.049,1.4,12.9
592,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.0%,13.749,14.699,0.95,18.9
671,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,14.799,16.149,1.35,13.3
688,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.2%,15.849,17.349,1.5,12.0
653,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.3%,16.149,17.749,1.6,11.3
826,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,16.749,17.599,0.85,21.2
835,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,17.049,18.649,1.6,11.2
872,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,17.599,18.799,1.2,15.0
915,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,58.8%,19.049,17.599,1.45,12.4
926,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,18.399,19.699,1.3,13.8
892,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,18.549,20.099,1.55,11.6
958,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.5%,20.149,18.949,1.2,15.0
1020,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,19.849,21.099,1.25,14.4
1055,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,20.249,21.199,0.95,18.9
1094,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.4%,20.899,21.949,1.05,17.1
1068,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,20.949,22.249,1.3,13.8
1103,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,21.249,22.349,1.1,16.4
1083,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,21.999,23.099,1.1,16.4
1229,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,22.599,23.749,1.15,15.7
1236,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,23.249,24.749,1.5,12.0
1286,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,23.499,24.849,1.35,13.3
1357,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,24.349,25.499,1.15,15.7
1358,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,24.349,25.599,1.25,14.4
1403,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,25.049,26.349,1.3,13.8
1472,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,25.699,26.999,1.3,13.8
1396,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.6%,25.899,27.499,1.6,11.3
1494,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,26.249,27.599,1.35,13.3
1493,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,26.599,27.999,1.4,12.9
1561,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,27.399,28.748,1.35,13.3
1636,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,28.748,30.049,1.3,13.8
1696,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.8%,29.799,28.748,1.05,17.1
1664,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,28.849,29.948,1.1,16.4
1717,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,56.6%,31.448,29.849,1.6,11.3
1756,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,29.948,30.898,0.95,18.9
