track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
2,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.2%,0.3,0.75,0.45,40.0
18,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.4%,1.75,2.15,0.4,45.0
22,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.1%,1.9,2.3,0.4,45.0
27,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.4%,3.55,3.9,0.35,51.4
30,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.2%,3.7,4.1,0.4,45.0
38,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,6.65,7.25,0.6,30.0
46,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.8%,7.2,7.6,0.4,45.0
57,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,8.499,9.05,0.55,32.7
62,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,8.999,9.499,0.5,36.0
70,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,9.149,9.55,0.4,45.0
79,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,45.4%,10.499,11.049,0.55,32.7
86,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,11.949,12.499,0.55,32.7
91,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,12.399,12.699,0.3,60.0
107,Car / Sedan,2,Sedan / jeep / station wagon,opposite,44.0%,12.849,13.249,0.4,45.0
99,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,13.649,14.199,0.55,32.7
112,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,14.499,14.999,0.5,36.0
117,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.1%,15.049,15.499,0.45,40.0
121,Car / Sedan,2,Sedan / jeep / station wagon,opposite,33.9%,15.499,15.849,0.35,51.4
129,Car / Sedan,2,Sedan / jeep / station wagon,opposite,51.3%,16.999,17.349,0.35,51.4
133,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,17.849,18.199,0.35,51.4
139,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.5%,18.199,18.499,0.3,60.0
140,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.0%,20.099,20.499,0.4,45.0
142,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,20.499,20.899,0.4,45.0
149,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,21.199,21.549,0.35,51.4
150,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,21.299,21.649,0.35,51.4
160,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,22.349,22.699,0.35,51.4
162,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,22.699,23.099,0.4,45.0
168,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,24.849,25.299,0.45,40.0
177,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.7%,25.599,25.899,0.3,60.0
178,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.7%,26.698,27.099,0.4,45.0
188,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,27.248,27.599,0.35,51.4
189,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,27.948,28.448,0.5,36.0
194,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.2%,28.748,29.148,0.4,45.0
205,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,32.448,32.848,0.4,45.0
216,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,34.798,35.098,0.3,60.0
221,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,35.748,36.148,0.4,45.0
224,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,40.298,40.848,0.55,32.7
246,Car / Sedan,2,Sedan / jeep / station wagon,opposite,66.0%,44.248,44.547,0.3,60.0
265,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,46.497,46.997,0.5,36.0
267,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,47.347,47.997,0.65,27.7
273,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,48.447,48.997,0.55,32.7
285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,51.697,52.197,0.5,36.0
297,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,56.697,57.047,0.35,51.4
299,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.8%,58.247,58.647,0.4,45.0
314,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.8%,60.697,61.097,0.4,45.0
333,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,64.646,65.296,0.65,27.7
335,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,64.796,65.296,0.5,36.0
355,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.0%,66.196,66.646,0.45,40.0
372,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.8%,68.646,68.946,0.3,60.0
373,Car / Sedan,2,Sedan / jeep / station wagon,opposite,75.1%,69.246,69.646,0.4,45.0
387,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.4%,72.796,73.396,0.6,30.0
397,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,72.4%,75.046,75.546,0.5,36.0
402,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.4%,76.096,76.546,0.45,40.0
408,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,61.3%,76.946,77.446,0.5,36.0
416,Car / Sedan,2,Sedan / jeep / station wagon,opposite,72.9%,78.546,78.896,0.35,51.4
425,Car / Sedan,2,Sedan / jeep / station wagon,opposite,80.7%,80.945,81.296,0.35,51.4
433,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,82.645,82.995,0.35,51.4
458,Bus,5,Bus,opposite,79.8%,85.045,85.495,0.45,40.0
464,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.3%,86.945,87.245,0.3,60.0
468,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,87.695,88.045,0.35,51.4
477,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,67.6%,90.345,90.945,0.6,30.0
482,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.2%,91.445,91.795,0.35,51.4
490,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.9%,92.695,93.045,0.35,51.4
486,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.6%,92.845,93.545,0.7,25.7
