track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
115,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.1%,17.349,15.849,1.5,12.0
132,Public Transportation (Angkot),3,Medium passenger vehicle,normal,89.5%,18.748,17.849,0.9,20.0
167,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,90.8%,25.998,25.048,0.95,18.9
289,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,35.047,35.547,0.5,36.0
347,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,50.3%,40.647,41.247,0.6,30.0
423,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.7%,45.746,46.346,0.6,30.0
508,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,52.896,53.746,0.85,21.2
565,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,56.745,57.495,0.75,24.0
593,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.1%,57.495,59.495,2.0,9.0
613,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,60.145,60.695,0.55,32.7
618,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,61.695,62.145,0.45,40.0
657,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,66.095,66.795,0.7,25.7
688,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,68.894,69.994,1.1,16.4
707,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.8%,70.494,71.044,0.55,32.7
719,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,83.0%,71.094,71.644,0.55,32.7
808,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,62.9%,83.293,84.043,0.75,24.0
807,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,84.093,83.343,0.75,24.0
819,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,85.7%,88.893,87.843,1.05,17.1
887,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,93.4%,90.843,90.043,0.8,22.5
974,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,93.442,93.993,0.55,32.7
1006,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.2%,94.492,95.042,0.55,32.7
1135,Car / Sedan,2,Sedan / jeep / station wagon,normal,59.2%,110.941,110.391,0.55,32.7
1248,Public Transportation (Angkot),3,Medium passenger vehicle,normal,92.4%,121.79,121.14,0.65,27.7
1294,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,124.94,126.04,1.1,16.4
1318,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,60.8%,127.54,126.74,0.8,22.5
1363,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,128.94,129.49,0.55,32.7
1368,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.8%,130.589,129.74,0.85,21.2
1372,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.7%,131.839,130.989,0.85,21.2
1386,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,131.44,132.589,1.15,15.7
1405,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.0%,133.739,132.839,0.9,20.0
1433,Car / Sedan,2,Sedan / jeep / station wagon,normal,50.9%,136.189,135.339,0.85,21.2
1441,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,136.439,137.239,0.8,22.5
1442,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.6%,136.439,137.189,0.75,24.0
1477,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,140.539,141.439,0.9,20.0
1537,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,147.838,146.088,1.75,10.3
1544,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.9%,148.738,147.838,0.9,20.0
1613,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.3%,152.738,153.238,0.5,36.0
1614,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,90.2%,155.537,154.438,1.1,16.4
1718,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,160.187,161.987,1.8,10.0
1812,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,166.437,167.637,1.2,15.0
1815,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,167.087,168.436,1.35,13.3
2095,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.1%,194.184,193.484,0.7,25.7
2147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,197.034,197.584,0.55,32.7
2169,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,201.234,201.884,0.65,27.7
2208,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,203.334,204.034,0.7,25.7
2216,Car / Sedan,2,Sedan / jeep / station wagon,opposite,57.1%,203.834,204.334,0.5,36.0
2264,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,206.633,207.333,0.7,25.7
2266,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.9%,207.683,208.283,0.6,30.0
2267,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,208.083,208.783,0.7,25.7
2292,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,209.483,210.233,0.75,24.0
2324,Car / Sedan,2,Sedan / jeep / station wagon,normal,69.3%,213.483,212.883,0.6,30.0
2345,Car / Sedan,2,Sedan / jeep / station wagon,opposite,77.6%,215.283,215.833,0.55,32.7
2363,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,216.533,217.083,0.55,32.7
2387,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,217.782,218.333,0.55,32.7
2424,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,64.8%,221.432,220.732,0.7,25.7
2448,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.4%,223.182,222.432,0.75,24.0
2478,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.2%,223.932,224.582,0.65,27.7
2499,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,225.282,226.082,0.8,22.5
2527,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,228.632,227.882,0.75,24.0
2655,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.1%,239.681,238.781,0.9,20.0
2924,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,261.829,262.679,0.85,21.2
3168,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.3%,283.627,285.227,1.6,11.3
3274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,294.026,294.926,0.9,20.0
3682,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.4%,335.323,334.173,1.15,15.7
3932,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.4%,349.672,350.122,0.45,40.0
3956,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,352.722,353.222,0.5,36.0
3969,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,354.572,354.922,0.35,51.4
3978,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.2%,358.021,357.371,0.65,27.7
3981,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,357.571,358.221,0.65,27.7
4023,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,360.621,361.221,0.6,30.0
4026,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,361.271,362.071,0.8,22.5
4041,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,362.221,362.971,0.75,24.0
4047,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.3%,362.771,363.421,0.65,27.7
4061,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,364.321,365.521,1.2,15.0
4068,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,364.571,365.371,0.8,22.5
