track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
15,Car / Sedan,2,Sedan / jeep / station wagon,normal,92.0%,5.05,2.75,2.3,7.8
260,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.7%,6.5,5.5,1.0,18.0
414,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,55.3%,12.549,9.05,3.5,5.1
380,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,46.4%,9.1,18.849,9.749,1.8
409,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.1%,11.949,10.449,1.5,12.0
202,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.5%,13.299,13.799,0.5,36.0
197,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.1%,13.749,15.199,1.45,12.4
47,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.7%,14.349,15.749,1.4,12.9
103,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,15.699,17.049,1.35,13.3
408,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,19.049,19.699,0.65,27.7
539,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.6%,22.299,21.199,1.1,16.4
589,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,22.149,22.849,0.7,25.7
646,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,22.899,23.649,0.75,24.0
676,Car / Sedan,2,Sedan / jeep / station wagon,normal,38.7%,26.948,23.849,3.1,5.8
739,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.8%,23.949,24.599,0.65,27.7
811,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.6%,29.348,26.349,3.0,6.0
922,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,26.498,27.198,0.7,25.7
969,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,27.298,27.948,0.65,27.7
1031,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,62.2%,28.348,29.098,0.75,24.0
1050,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,28.798,29.548,0.75,24.0
1062,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.1%,28.998,29.698,0.7,25.7
1115,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,29.698,30.448,0.75,24.0
1079,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.7%,31.998,29.698,2.3,7.8
1147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,30.098,30.798,0.7,25.7
1209,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.8%,30.698,31.348,0.65,27.7
1361,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.2%,33.298,33.948,0.65,27.7
1419,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.3%,34.198,35.248,1.05,17.1
1447,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,34.448,35.498,1.05,17.1
1522,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,35.648,36.748,1.1,16.4
1499,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,36.648,37.548,0.9,20.0
1660,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,37.398,38.148,0.75,24.0
1723,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,38.348,38.948,0.6,30.0
1724,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.6%,38.548,39.398,0.85,21.2
1809,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,39.998,40.948,0.95,18.9
1892,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.8%,41.448,42.198,0.75,24.0
1836,Public Transportation (Angkot),3,Medium passenger vehicle,normal,87.7%,43.347,41.548,1.8,10.0
1959,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,42.698,43.398,0.7,25.7
1930,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.1%,45.347,43.597,1.75,10.3
2022,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,84.5%,44.047,44.797,0.75,24.0
2102,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.2%,44.547,45.347,0.8,22.5
2196,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.5%,45.997,46.947,0.95,18.9
2248,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,46.397,47.147,0.75,24.0
2220,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,45.2%,48.547,46.847,1.7,10.6
2317,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,47.547,48.447,0.9,20.0
2339,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,47.697,48.597,0.9,20.0
2340,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,47.747,48.597,0.85,21.2
2428,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,48.847,49.547,0.7,25.7
2451,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,54.8%,51.097,49.497,1.6,11.3
2496,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,49.697,50.447,0.75,24.0
2456,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.1%,49.897,50.797,0.9,20.0
2617,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,51.597,52.247,0.65,27.7
2634,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,51.947,52.597,0.65,27.7
2680,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,52.647,53.397,0.75,24.0
2628,Car / Sedan,2,Sedan / jeep / station wagon,opposite,62.8%,53.797,54.897,1.1,16.4
2820,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.4%,55.197,56.097,0.9,20.0
2723,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.3%,58.797,56.097,2.7,6.7
2826,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,56.347,57.997,1.65,10.9
2989,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.9%,57.897,58.847,0.95,18.9
2958,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,75.0%,58.797,59.847,1.05,17.1
3060,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,59.147,60.197,1.05,17.1
3113,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.6%,60.097,60.996,0.9,20.0
3121,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.9%,60.197,60.996,0.8,22.5
3169,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.3%,60.746,61.647,0.9,20.0
3207,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.6%,61.297,62.146,0.85,21.2
3265,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,63.7%,64.496,62.746,1.75,10.3
3307,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.7%,63.496,64.296,0.8,22.5
3341,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.8%,64.096,64.746,0.65,27.7
3427,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,68.2%,65.596,66.546,0.95,18.9
3540,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,58.5%,67.146,67.796,0.65,27.7
3591,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,67.846,68.946,1.1,16.4
3660,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.6%,68.796,69.846,1.05,17.1
3820,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,53.1%,74.246,71.796,2.45,7.3
3885,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.5%,76.196,72.896,3.3,5.5
3932,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,73.646,74.496,0.85,21.2
4085,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,75.296,76.196,0.9,20.0
4178,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.0%,76.146,78.195,2.05,8.8
4037,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,77.796,79.445,1.65,10.9
4320,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.8%,78.796,79.945,1.15,15.7
4415,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.0%,80.295,81.595,1.3,13.8
4326,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.5%,80.845,82.645,1.8,10.0
4506,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,55.8%,81.695,82.845,1.15,15.7
4490,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,82.945,84.695,1.75,10.3
4653,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.4%,83.545,84.545,1.0,18.0
4716,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.9%,84.245,85.245,1.0,18.0
4728,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,85.195,86.545,1.35,13.3
4822,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,85.745,86.795,1.05,17.1
4867,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,86.495,87.545,1.05,17.1
4916,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.2%,87.145,87.945,0.8,22.5
4893,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,87.395,88.695,1.3,13.8
4998,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.6%,88.395,89.295,0.9,20.0
