track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
5,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.6%,0.25,1.25,1.0,18.0
13,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.8%,3.75,0.9,2.85,6.3
14,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,1.45,2.2,0.75,24.0
47,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,1.9,2.95,1.05,17.1
23,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.3%,1.95,2.75,0.8,22.5
39,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.3%,3.7,2.05,1.65,10.9
45,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.0%,3.2,2.1,1.1,16.4
1,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.1%,2.15,3.15,1.0,18.0
36,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,2.75,3.8,1.05,17.1
24,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.3%,4.05,2.85,1.2,15.0
49,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,3.45,4.35,0.9,20.0
33,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,57.2%,4.2,5.0,0.8,22.5
41,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,4.4,5.45,1.05,17.1
18,Public Transportation (Angkot),3,Medium passenger vehicle,normal,89.5%,8.3,4.45,3.85,4.7
155,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.9%,5.65,6.55,0.9,20.0
300,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.9%,13.249,6.75,6.5,2.8
299,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,7.0,8.05,1.05,17.1
593,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.6%,9.849,10.499,0.65,27.7
615,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.0%,14.199,10.699,3.5,5.1
502,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.7%,14.799,11.299,3.5,5.1
665,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.4%,11.649,12.799,1.15,15.7
810,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.3%,12.049,12.799,0.75,24.0
563,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,12.099,14.599,2.5,7.2
737,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,13.599,16.299,2.7,6.7
983,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.7%,14.799,16.199,1.4,12.9
705,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.4%,19.649,15.049,4.6,3.9
908,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.5%,16.949,15.099,1.85,9.7
1189,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,16.999,18.149,1.15,15.7
1339,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,17.699,18.599,0.9,20.0
1416,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,18.399,19.299,0.9,20.0
1425,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,19.099,20.249,1.15,15.7
1477,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,19.099,19.999,0.9,20.0
1487,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,19.399,20.299,0.9,20.0
