track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
266,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.5%,41.247,40.347,0.9,20.0
280,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.8%,41.297,40.797,0.5,36.0
339,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.4%,47.796,47.046,0.75,24.0
470,Car / Sedan,2,Sedan / jeep / station wagon,normal,59.4%,59.295,58.495,0.8,22.5
538,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.1%,61.645,62.145,0.5,36.0
521,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.4%,62.745,61.945,0.8,22.5
592,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,64.845,65.495,0.65,27.7
616,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,68.294,68.995,0.7,25.7
621,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.9%,70.044,70.544,0.5,36.0
663,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.7%,74.244,75.044,0.8,22.5
659,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,74.344,75.044,0.7,25.7
679,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,75.594,76.394,0.8,22.5
738,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,80.344,81.293,0.95,18.9
791,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,86.443,87.143,0.7,25.7
841,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,76.6%,95.492,96.342,0.85,21.2
865,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.3%,95.692,97.042,1.35,13.3
837,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,62.9%,95.892,96.692,0.8,22.5
881,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,91.4%,96.642,97.442,0.8,22.5
977,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,101.292,102.292,1.0,18.0
1018,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.0%,103.792,104.642,0.85,21.2
1045,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,106.391,107.141,0.75,24.0
1042,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.2%,106.491,107.791,1.3,13.8
1083,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,112.291,113.091,0.8,22.5
1084,Car / Sedan,2,Sedan / jeep / station wagon,opposite,80.8%,113.491,115.141,1.65,10.9
1236,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,88.4%,127.74,126.29,1.45,12.4
1267,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,128.24,129.04,0.8,22.5
1393,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,138.739,139.339,0.6,30.0
1445,Public Transportation (Angkot),3,Medium passenger vehicle,normal,75.4%,146.538,144.438,2.1,8.6
1516,Bus,5,Bus,normal,90.6%,151.988,151.288,0.7,25.7
1562,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.5%,155.738,156.537,0.8,22.5
1619,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.6%,160.437,159.537,0.9,20.0
1662,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,53.0%,162.737,161.937,0.8,22.5
1664,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,89.9%,163.787,162.937,0.85,21.2
1848,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,176.986,177.636,0.65,27.7
1859,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,63.6%,179.586,178.086,1.5,12.0
1921,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.4%,184.835,184.185,0.65,27.7
2011,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.5%,191.435,190.635,0.8,22.5
2037,Bus,5,Bus,normal,92.1%,194.284,193.584,0.7,25.7
2063,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.5%,199.584,201.634,2.05,8.8
2106,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.8%,200.834,202.484,1.65,10.9
2265,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.3%,213.783,214.683,0.9,20.0
2307,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,217.982,218.482,0.5,36.0
2391,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,225.232,225.732,0.5,36.0
2386,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.4%,225.582,226.182,0.6,30.0
2397,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,226.532,227.282,0.75,24.0
2417,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,64.8%,228.132,228.632,0.5,36.0
2487,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,231.431,232.181,0.75,24.0
2531,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.9%,235.681,235.031,0.65,27.7
