track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
148,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.4%,3.85,4.95,1.1,16.4
156,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,4.45,5.55,1.1,16.4
226,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,5.65,6.649,1.0,18.0
337,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,7.849,8.799,0.95,18.9
319,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,41.9%,9.949,8.049,1.9,9.5
371,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.4%,8.349,9.249,0.9,20.0
397,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,9.199,10.149,0.95,18.9
372,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.7%,14.049,9.699,4.35,4.1
435,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.5%,10.299,11.299,1.0,18.0
455,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,11.299,12.399,1.1,16.4
447,Public Transportation (Angkot),3,Medium passenger vehicle,normal,84.8%,17.149,12.449,4.7,3.8
496,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,12.749,13.899,1.15,15.7
537,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,89.5%,14.249,15.349,1.1,16.4
590,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,16.249,17.399,1.15,15.7
555,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,17.199,18.849,1.65,10.9
66,Car / Sedan,2,Sedan / jeep / station wagon,opposite,76.8%,18.599,20.049,1.45,12.4
124,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.5%,18.949,20.448,1.5,12.0
222,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,21.698,23.048,1.35,13.3
306,Public Transportation (Angkot),3,Medium passenger vehicle,normal,92.1%,25.598,23.998,1.6,11.3
175,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.1%,26.648,28.698,2.05,8.8
220,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.0%,27.448,29.048,1.6,11.3
233,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,27.748,29.148,1.4,12.9
300,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,82.7%,30.798,29.048,1.75,10.3
393,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.3%,30.498,32.448,1.95,9.2
615,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.9%,33.347,32.448,0.9,20.0
585,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.6%,32.898,34.397,1.5,12.0
637,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,33.197,34.297,1.1,16.4
670,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,59.3%,36.247,34.047,2.2,8.2
722,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.9%,34.847,35.547,0.7,25.7
748,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,35.697,36.447,0.75,24.0
803,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,65.7%,38.147,36.797,1.35,13.3
794,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,36.947,37.797,0.85,21.2
804,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.6%,38.247,37.197,1.05,17.1
840,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.8%,39.147,37.897,1.25,14.4
822,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.1%,39.547,38.347,1.2,15.0
851,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.3%,38.447,39.447,1.0,18.0
883,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,39.397,40.147,0.75,24.0
