track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
84,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.1%,6.633,5.667,0.967,18.6
155,Public Transportation (Angkot),3,Medium passenger vehicle,normal,54.4%,10.233,11.333,1.1,16.4
223,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.6%,16.467,14.367,2.1,8.6
220,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,78.4%,15.067,16.833,1.767,10.2
281,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.4%,18.867,16.833,2.033,8.9
310,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.2%,20.867,19.067,1.8,10.0
341,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,65.8%,20.767,22.333,1.567,11.5
340,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.4%,22.133,20.767,1.367,13.2
395,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,57.8%,25.867,23.2,2.667,6.7
441,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.1%,24.3,25.6,1.3,13.8
488,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.8%,27.5,26.167,1.333,13.5
497,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,62.2%,28.267,30.733,2.467,7.3
576,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,72.7%,29.867,31.433,1.567,11.5
592,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.3%,32.333,31.233,1.1,16.4
674,Car / Sedan,2,Sedan / jeep / station wagon,normal,48.5%,34.367,35.633,1.267,14.2
677,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.8%,34.533,35.7,1.167,15.4
1028,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.4%,50.267,51.467,1.2,15.0
1119,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.0%,53.167,54.467,1.3,13.8
1260,Car / Sedan,2,Sedan / jeep / station wagon,normal,55.9%,60.467,61.8,1.333,13.5
1358,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,73.2%,69.067,70.967,1.9,9.5
1493,Bus,5,Bus,opposite,91.2%,74.133,73.2,0.933,19.3
1523,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,87.8%,74.9,73.6,1.3,13.8
1529,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.3%,73.633,74.633,1.0,18.0
