track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
3,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,2.3,2.95,0.65,27.7
12,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,3.15,4.0,0.85,21.2
13,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,9.999,10.599,0.6,30.0
31,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.7%,13.549,14.049,0.5,36.0
75,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.5%,20.649,19.249,1.4,12.9
185,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.3%,35.648,34.898,0.75,24.0
220,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,37.498,38.148,0.65,27.7
239,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.1%,41.248,40.548,0.7,25.7
287,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,43.947,44.797,0.85,21.2
285,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.0%,45.597,44.797,0.8,22.5
411,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,55.197,55.747,0.55,32.7
473,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.1%,63.096,62.096,1.0,18.0
541,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.4%,65.746,66.346,0.6,30.0
602,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,40.4%,72.196,70.896,1.3,13.8
669,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,80.395,81.295,0.9,20.0
672,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,80.545,81.095,0.55,32.7
706,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.8%,84.345,83.495,0.85,21.2
702,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,58.3%,85.945,84.645,1.3,13.8
743,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.5%,87.695,86.895,0.8,22.5
762,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.6%,90.895,89.795,1.1,16.4
1015,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,110.644,111.294,0.65,27.7
1021,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,65.3%,112.194,111.344,0.85,21.2
1052,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.1%,115.143,116.543,1.4,12.9
1082,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,39.4%,123.793,121.343,2.45,7.3
1090,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.4%,123.593,122.543,1.05,17.1
1264,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,137.442,138.792,1.35,13.3
1297,Car / Sedan,2,Sedan / jeep / station wagon,opposite,68.1%,141.842,142.342,0.5,36.0
1397,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.6%,148.792,149.591,0.8,22.5
1417,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,150.591,151.091,0.5,36.0
1444,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,153.591,154.091,0.5,36.0
1586,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.8%,169.14,169.74,0.6,30.0
1599,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,170.54,171.54,1.0,18.0
1791,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,182.589,183.639,1.05,17.1
1917,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.9%,197.739,197.039,0.7,25.7
2224,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.6%,226.837,227.237,0.4,45.0
2378,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,242.536,243.036,0.5,36.0
2692,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.8%,271.834,270.985,0.85,21.2
2801,Public Transportation (Angkot),3,Medium passenger vehicle,normal,88.7%,280.834,279.634,1.2,15.0
3117,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.4%,308.532,309.632,1.1,16.4
3123,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,309.682,310.382,0.7,25.7
3145,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,310.932,311.532,0.6,30.0
3196,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,314.932,315.582,0.65,27.7
3223,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.0%,318.882,319.382,0.5,36.0
3229,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,320.582,321.332,0.75,24.0
3291,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,324.931,325.631,0.7,25.7
3342,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.0%,329.981,330.781,0.8,22.5
3363,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,92.1%,331.231,331.731,0.5,36.0
3386,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,335.181,336.031,0.85,21.2
3548,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,351.78,352.33,0.55,32.7
3541,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,70.1%,354.18,351.93,2.25,8.0
3658,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.7%,362.579,363.429,0.85,21.2
3645,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,47.3%,363.629,365.879,2.25,8.0
3679,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.7%,367.079,365.979,1.1,16.4
3777,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.4%,370.129,369.429,0.7,25.7
3929,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,66.0%,383.478,382.628,0.85,21.2
3971,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.1%,387.328,388.028,0.7,25.7
3972,Bus,5,Bus,normal,92.1%,389.578,388.778,0.8,22.5
4051,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,396.027,396.777,0.75,24.0
4735,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,466.223,466.873,0.65,27.7
4843,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,473.023,473.773,0.75,24.0
4842,Car / Sedan,2,Sedan / jeep / station wagon,normal,64.7%,474.423,473.723,0.7,25.7
4927,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,476.473,477.123,0.65,27.7
5001,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,480.872,481.572,0.7,25.7
5024,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.7%,483.872,483.122,0.75,24.0
5082,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.1%,487.772,487.122,0.65,27.7
5114,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,488.872,489.772,0.9,20.0
5409,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,508.671,509.471,0.8,22.5
5472,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.8%,513.071,513.721,0.65,27.7
5509,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.3%,516.22,516.67,0.45,40.0
5547,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.9%,520.52,519.12,1.4,12.9
5587,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,58.3%,523.77,522.37,1.4,12.9
5649,Public Transportation (Angkot),3,Medium passenger vehicle,normal,81.9%,530.42,528.52,1.9,9.5
5940,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.0%,555.418,556.268,0.85,21.2
5992,Car / Sedan,2,Sedan / jeep / station wagon,normal,48.4%,563.718,562.918,0.8,22.5
6038,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,90.6%,566.867,567.518,0.65,27.7
6082,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.3%,575.917,574.067,1.85,9.7
6223,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,56.5%,590.766,589.516,1.25,14.4
6334,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,595.166,595.666,0.5,36.0
6588,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,625.914,627.664,1.75,10.3
6658,Car / Sedan,2,Sedan / jeep / station wagon,opposite,59.7%,632.364,632.914,0.55,32.7
6670,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,78.5%,633.364,633.964,0.6,30.0
6675,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,633.914,634.564,0.65,27.7
6713,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.7%,636.364,636.913,0.55,32.7
6747,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,640.363,641.163,0.8,22.5
6757,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.4%,640.913,641.513,0.6,30.0
6776,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,645.713,646.263,0.55,32.7
6822,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,87.2%,655.712,653.913,1.8,10.0
6845,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.2%,654.062,654.513,0.45,40.0
6956,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.5%,665.362,664.662,0.7,25.7
7029,Public Transportation (Angkot),3,Medium passenger vehicle,normal,69.9%,671.412,669.962,1.45,12.4
7068,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,671.611,672.261,0.65,27.7
7235,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.6%,687.211,686.511,0.7,25.7
7342,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,696.26,696.76,0.5,36.0
7360,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,37.2%,700.11,702.41,2.3,7.8
7387,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,60.9%,701.01,703.61,2.6,6.9
7412,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.0%,702.66,704.11,1.45,12.4
7424,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,703.56,704.31,0.75,24.0
7659,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,726.258,727.308,1.05,17.1
7912,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.8%,749.557,748.807,0.75,24.0
7944,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.8%,751.507,750.807,0.7,25.7
