track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
60,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.8%,2.4,2.7,0.3,60.0
92,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.5%,3.55,3.8,0.25,72.0
113,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,4.9,5.15,0.25,72.0
120,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,5.15,5.4,0.25,72.0
171,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.2%,7.8,8.05,0.25,72.0
248,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.6%,11.249,11.549,0.3,60.0
2,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,11.499,11.749,0.25,72.0
8,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,12.399,12.799,0.4,45.0
257,Car / Sedan,2,Sedan / jeep / station wagon,opposite,73.2%,13.049,13.399,0.35,51.4
67,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,14.749,15.249,0.5,36.0
78,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,15.299,15.649,0.35,51.4
145,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,17.299,17.549,0.25,72.0
178,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,19.049,19.399,0.35,51.4
204,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.6%,20.599,20.949,0.35,51.4
224,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,20.649,20.899,0.25,72.0
225,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.2%,21.249,21.649,0.4,45.0
244,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,21.899,22.149,0.25,72.0
247,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.4%,22.449,22.799,0.35,51.4
258,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,23.199,23.599,0.4,45.0
276,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.5%,23.749,24.099,0.35,51.4
303,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,25.299,25.649,0.35,51.4
311,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,25.849,26.248,0.4,45.0
315,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.0%,25.899,26.299,0.4,45.0
331,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.7%,26.799,27.198,0.4,45.0
351,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.0%,27.398,27.798,0.4,45.0
369,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.2%,28.398,28.748,0.35,51.4
376,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,28.448,28.748,0.3,60.0
392,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,29.598,30.148,0.55,32.7
399,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.7%,30.398,30.798,0.4,45.0
411,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,52.6%,30.548,30.748,0.2,90.0
429,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,31.298,31.648,0.35,51.4
441,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.5%,31.748,32.198,0.45,40.0
474,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.8%,32.948,33.298,0.35,51.4
484,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,32.948,33.348,0.4,45.0
503,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,33.248,33.548,0.3,60.0
504,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.0%,33.698,34.098,0.4,45.0
522,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.5%,33.848,34.298,0.45,40.0
548,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,34.648,34.998,0.35,51.4
568,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.5%,35.548,36.048,0.5,36.0
577,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,35.948,36.298,0.35,51.4
592,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,36.698,36.998,0.3,60.0
615,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,37.148,37.498,0.35,51.4
618,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,37.348,37.648,0.3,60.0
626,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.3%,37.798,38.148,0.35,51.4
681,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.3%,41.398,41.848,0.45,40.0
698,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,41.848,42.348,0.5,36.0
714,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.1%,42.298,42.698,0.4,45.0
715,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,42.348,42.798,0.45,40.0
730,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.6%,43.898,44.347,0.45,40.0
740,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.7%,44.797,45.347,0.55,32.7
777,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.8%,45.947,46.347,0.4,45.0
812,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,46.347,46.697,0.35,51.4
782,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.9%,46.847,47.297,0.45,40.0
852,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,47.847,48.247,0.4,45.0
894,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.1%,48.547,48.897,0.35,51.4
923,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.5%,49.497,49.947,0.45,40.0
959,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.4%,50.497,50.897,0.4,45.0
968,Car / Sedan,2,Sedan / jeep / station wagon,opposite,56.2%,50.897,51.397,0.5,36.0
988,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,51.997,52.297,0.3,60.0
1023,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,52.697,53.047,0.35,51.4
1008,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.8%,52.747,53.197,0.45,40.0
1024,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,52.797,53.147,0.35,51.4
1047,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.3%,53.897,54.247,0.35,51.4
1094,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,54.697,54.947,0.25,72.0
