track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.5%,3.65,1.15,2.5,7.2
42,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,1.25,2.25,1.0,18.0
28,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.9%,3.25,1.85,1.4,12.9
7,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.7%,6.0,3.95,2.05,8.8
59,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.7%,7.799,5.9,1.9,9.5
308,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.4%,6.899,7.799,0.9,20.0
399,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.0%,10.999,7.899,3.1,5.8
179,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.2%,10.099,8.299,1.8,10.0
451,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.5%,8.549,9.349,0.8,22.5
314,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.4%,11.849,9.949,1.9,9.5
738,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.8%,13.999,12.849,1.15,15.7
788,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,14.549,13.399,1.15,15.7
610,Car / Sedan,2,Sedan / jeep / station wagon,normal,60.0%,17.249,13.649,3.6,5.0
1193,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,18.499,20.498,2.0,9.0
1148,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,18.749,20.198,1.45,12.4
1331,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.6%,21.698,22.948,1.25,14.4
1714,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,22.948,24.098,1.15,15.7
940,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.2%,23.498,25.998,2.5,7.2
1653,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.3%,24.298,26.098,1.8,10.0
1797,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.3%,24.748,26.648,1.9,9.5
1888,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.5%,30.048,27.598,2.45,7.3
2161,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.6%,28.548,29.798,1.25,14.4
1649,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,29.048,31.748,2.7,6.7
2336,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,30.198,30.998,0.8,22.5
2330,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.1%,31.898,30.498,1.4,12.9
2339,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.6%,33.547,32.048,1.5,12.0
2778,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,35.397,36.097,0.7,25.7
2797,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,35.447,36.047,0.6,30.0
2458,Public Transportation (Angkot),3,Medium passenger vehicle,normal,91.3%,37.947,35.597,2.35,7.7
2690,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.3%,37.197,35.897,1.3,13.8
2858,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,36.147,36.697,0.55,32.7
2859,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,36.597,37.397,0.8,22.5
2860,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.5%,39.947,38.697,1.25,14.4
