track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
17,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,2.15,2.8,0.65,27.7
6,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,2.8,3.25,0.45,40.0
38,Car / Sedan,2,Sedan / jeep / station wagon,opposite,70.3%,7.15,7.8,0.65,27.7
45,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,11.949,12.599,0.65,27.7
562,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,19.599,20.199,0.6,30.0
800,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,22.399,22.999,0.6,30.0
996,Car / Sedan,2,Sedan / jeep / station wagon,opposite,75.5%,25.349,25.898,0.55,32.7
1408,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,29.348,29.898,0.55,32.7
1823,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.5%,35.698,34.748,0.95,18.9
1960,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,35.898,36.648,0.75,24.0
2091,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.2%,38.698,37.598,1.1,16.4
2173,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,38.798,39.448,0.65,27.7
2372,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,41.148,41.748,0.6,30.0
2593,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.1%,45.947,44.997,0.95,18.9
2944,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,52.1%,49.297,48.447,0.85,21.2
3027,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.6%,50.197,49.497,0.7,25.7
3251,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,51.097,51.847,0.75,24.0
3459,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,53.347,55.047,1.7,10.6
4273,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,62.146,62.746,0.6,30.0
4339,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,62.746,63.546,0.8,22.5
4897,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.6%,70.996,69.696,1.3,13.8
5688,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,41.1%,79.046,80.295,1.25,14.4
5764,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,52.0%,81.695,80.245,1.45,12.4
6636,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,69.4%,91.645,90.395,1.25,14.4
7135,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,97.044,97.844,0.8,22.5
8469,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.9%,112.394,110.794,1.6,11.3
8572,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,111.594,112.394,0.8,22.5
10032,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.2%,129.693,130.093,0.4,45.0
10041,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.0%,131.393,129.943,1.45,12.4
10147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.9%,130.192,130.792,0.6,30.0
10390,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,132.942,133.542,0.6,30.0
10496,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,134.092,134.592,0.5,36.0
10550,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,134.892,135.542,0.65,27.7
10744,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,87.8%,137.492,138.042,0.55,32.7
10778,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,60.0%,137.892,138.592,0.7,25.7
11021,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.8%,140.992,141.642,0.65,27.7
11761,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,150.491,151.091,0.6,30.0
11922,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,152.891,153.591,0.7,25.7
12237,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.6%,158.991,157.291,1.7,10.6
13059,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,167.49,168.19,0.7,25.7
13111,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,168.39,169.04,0.65,27.7
13640,Car / Sedan,2,Sedan / jeep / station wagon,opposite,68.8%,175.24,175.79,0.55,32.7
14364,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,184.989,185.739,0.75,24.0
14462,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,186.239,186.939,0.7,25.7
14820,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.9%,193.189,191.939,1.25,14.4
15035,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.9%,195.039,195.789,0.75,24.0
15083,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,195.589,196.239,0.65,27.7
15397,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,199.589,200.238,0.65,27.7
15587,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.7%,201.538,202.088,0.55,32.7
15642,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,202.088,202.738,0.65,27.7
16042,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,206.938,207.788,0.85,21.2
16736,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.7%,215.888,214.588,1.3,13.8
17037,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.4%,218.088,217.387,0.7,25.7
17425,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,85.7%,222.837,221.837,1.0,18.0
17496,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,67.9%,225.137,223.387,1.75,10.3
17840,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,33.3%,227.437,226.637,0.8,22.5
18299,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,232.937,233.687,0.75,24.0
18285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.4%,233.237,235.036,1.8,10.0
18500,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.7%,238.886,236.786,2.1,8.6
18929,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,83.5%,245.136,244.036,1.1,16.4
19222,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.0%,246.036,245.286,0.75,24.0
19267,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.5%,248.086,246.986,1.1,16.4
19568,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.3%,251.536,250.486,1.05,17.1
20463,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.1%,263.435,262.735,0.7,25.7
21363,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,36.7%,275.684,274.584,1.1,16.4
21406,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,64.8%,276.284,275.234,1.05,17.1
22475,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,287.433,287.933,0.5,36.0
22639,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.5%,289.633,290.433,0.8,22.5
22718,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.2%,292.533,291.333,1.2,15.0
22912,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.1%,292.933,293.983,1.05,17.1
23194,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,295.083,295.883,0.8,22.5
23054,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,295.133,295.783,0.65,27.7
23269,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,296.033,296.833,0.8,22.5
23357,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,296.983,297.633,0.65,27.7
23571,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,299.433,300.233,0.8,22.5
23501,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.4%,301.933,300.233,1.7,10.6
23734,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,301.783,302.483,0.7,25.7
23847,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,303.133,303.933,0.8,22.5
23798,Car / Sedan,2,Sedan / jeep / station wagon,normal,59.5%,304.283,303.333,0.95,18.9
24130,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.7%,305.582,306.282,0.7,25.7
24301,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.7%,307.432,308.232,0.8,22.5
24342,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.4%,307.932,308.732,0.8,22.5
24382,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,308.582,309.182,0.6,30.0
24451,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.7%,309.432,310.182,0.75,24.0
24726,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.6%,311.782,312.582,0.8,22.5
24972,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,314.432,315.282,0.85,21.2
25082,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,316.182,317.082,0.9,20.0
25868,Car / Sedan,2,Sedan / jeep / station wagon,normal,61.9%,324.931,323.881,1.05,17.1
26010,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.3%,326.131,325.131,1.0,18.0
26145,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,325.781,326.431,0.65,27.7
26133,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,35.1%,330.031,326.681,3.35,5.4
26179,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,327.981,327.081,0.9,20.0
26337,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,327.531,328.181,0.65,27.7
26409,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.4%,330.281,329.431,0.85,21.2
27206,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,336.981,337.631,0.65,27.7
