track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,91.6%,1.0,1.55,0.55,32.7
3,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.2%,6.1,6.75,0.65,27.7
163,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,25.399,25.999,0.6,30.0
390,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,49.398,50.148,0.75,24.0
629,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,69.1%,70.447,69.947,0.5,36.0
800,Car / Sedan,2,Sedan / jeep / station wagon,opposite,51.0%,87.246,87.646,0.4,45.0
805,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.7%,88.196,88.596,0.4,45.0
884,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.8%,95.395,95.945,0.55,32.7
894,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.1%,96.195,96.745,0.55,32.7
1054,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,54.8%,107.795,106.995,0.8,22.5
1058,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,92.1%,109.745,108.945,0.8,22.5
1178,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.6%,119.394,120.094,0.7,25.7
1161,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,91.0%,122.744,121.144,1.6,11.3
1427,Bus,5,Bus,normal,91.5%,143.943,143.143,0.8,22.5
1454,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,145.543,146.343,0.8,22.5
1464,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,51.2%,145.693,146.543,0.85,21.2
1646,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.9%,163.592,162.742,0.85,21.2
1692,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,67.2%,164.292,164.892,0.6,30.0
1819,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,176.591,175.841,0.75,24.0
1944,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.5%,186.891,187.641,0.75,24.0
2428,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,230.839,231.288,0.45,40.0
2605,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,69.7%,248.138,247.388,0.75,24.0
2680,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,252.588,253.737,1.15,15.7
2686,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.3%,253.687,254.687,1.0,18.0
2736,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,255.537,256.237,0.7,25.7
2747,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.6%,256.587,257.237,0.65,27.7
2780,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.5%,261.687,260.687,1.0,18.0
2782,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,261.087,261.887,0.8,22.5
2811,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,55.3%,262.637,264.737,2.1,8.6
2826,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.0%,263.587,264.187,0.6,30.0
3004,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.4%,278.386,279.436,1.05,17.1
3103,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.5%,285.936,286.586,0.65,27.7
3126,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.2%,289.786,290.336,0.55,32.7
3176,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.0%,293.036,293.535,0.5,36.0
