track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,0.25,1.15,0.9,20.0
7,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,0.45,1.35,0.9,20.0
49,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,78.9%,1.95,2.65,0.7,25.7
44,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.2%,2.8,2.0,0.8,22.5
50,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.1%,2.4,3.25,0.85,21.2
74,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.1%,3.3,2.45,0.85,21.2
102,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,72.4%,4.05,3.15,0.9,20.0
127,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,4.05,4.85,0.8,22.5
148,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,4.4,5.1,0.7,25.7
120,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.8%,6.25,5.3,0.95,18.9
189,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,5.35,6.05,0.7,25.7
197,Car / Sedan,2,Sedan / jeep / station wagon,normal,39.8%,8.149,5.45,2.7,6.7
265,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.9%,7.5,8.149,0.65,27.7
205,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,8.8,10.399,1.6,11.3
356,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.3%,10.149,10.799,0.65,27.7
337,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,62.1%,11.549,13.849,2.3,7.8
101,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,13.599,14.949,1.35,13.3
182,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,57.6%,16.399,15.199,1.2,15.0
166,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,15.449,16.799,1.35,13.3
228,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,73.0%,17.799,16.099,1.7,10.6
229,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,16.399,17.449,1.05,17.1
268,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.3%,17.149,17.999,0.85,21.2
266,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,17.599,18.799,1.2,15.0
285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.4%,17.599,18.449,0.85,21.2
334,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,18.699,19.699,1.0,18.0
351,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,19.249,20.349,1.1,16.4
380,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,19.649,20.499,0.85,21.2
407,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,20.299,21.049,0.75,24.0
421,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,69.5%,22.699,20.599,2.1,8.6
436,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,21.099,21.999,0.9,20.0
446,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.3%,21.349,22.049,0.7,25.7
444,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,82.2%,23.599,21.749,1.85,9.7
480,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.9%,22.399,23.299,0.9,20.0
504,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.9%,23.649,24.649,1.0,18.0
534,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,86.2%,24.399,41.198,16.799,1.1
