track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
14,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,1.4,2.05,0.65,27.7
17,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.3%,1.95,3.05,1.1,16.4
36,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,93.5%,3.7,4.75,1.05,17.1
43,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,93.3%,5.05,6.099,1.05,17.1
51,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.4%,5.5,6.25,0.75,24.0
58,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,6.55,7.299,0.75,24.0
49,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,88.5%,7.699,6.599,1.1,16.4
68,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.5%,7.849,8.699,0.85,21.2
85,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,66.8%,8.849,9.699,0.85,21.2
100,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,11.149,11.849,0.7,25.7
101,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.0%,12.749,13.749,1.0,18.0
132,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,89.4%,22.248,21.248,1.0,18.0
139,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,21.298,22.098,0.8,22.5
145,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.6%,21.398,21.898,0.5,36.0
162,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,91.4%,28.848,27.698,1.15,15.7
169,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,80.9%,30.698,29.598,1.1,16.4
173,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.7%,32.247,31.098,1.15,15.7
181,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,91.2%,33.497,32.347,1.15,15.7
185,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,34.147,34.797,0.65,27.7
198,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.5%,39.497,38.697,0.8,22.5
208,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,43.096,43.846,0.75,24.0
220,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.3%,48.246,47.596,0.65,27.7
223,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.0%,50.296,49.646,0.65,27.7
234,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.0%,51.996,51.346,0.65,27.7
244,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,82.2%,54.496,53.896,0.6,30.0
252,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,60.195,60.845,0.65,27.7
255,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.3%,61.945,60.895,1.05,17.1
260,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,48.4%,66.745,68.844,2.1,8.6
277,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,69.044,69.894,0.85,21.2
283,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.9%,75.544,74.294,1.25,14.4
287,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,77.244,78.394,1.15,15.7
291,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.3%,84.693,82.193,2.5,7.2
296,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.4%,87.593,86.243,1.35,13.3
338,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,99.942,100.492,0.55,32.7
359,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,105.092,105.641,0.55,32.7
361,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,68.3%,106.041,106.591,0.55,32.7
367,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,106.891,107.591,0.7,25.7
369,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,107.441,108.241,0.8,22.5
374,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,107.541,108.141,0.6,30.0
377,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,78.7%,109.091,109.641,0.55,32.7
389,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,109.741,110.341,0.6,30.0
382,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.8%,110.691,112.191,1.5,12.0
405,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,114.541,115.291,0.75,24.0
409,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,115.841,116.591,0.75,24.0
410,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,64.2%,116.341,116.991,0.65,27.7
415,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.5%,117.641,118.441,0.8,22.5
418,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,118.191,118.841,0.65,27.7
423,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.8%,119.79,118.94,0.85,21.2
436,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,120.94,122.24,1.3,13.8
439,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,121.69,122.89,1.2,15.0
448,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,123.84,124.64,0.8,22.5
454,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,125.14,126.09,0.95,18.9
462,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.2%,126.24,127.19,0.95,18.9
463,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,126.24,126.99,0.75,24.0
465,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,43.5%,126.74,128.49,1.75,10.3
467,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,127.09,128.04,0.95,18.9
481,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.1%,129.64,130.589,0.95,18.9
486,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,130.139,130.639,0.5,36.0
506,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.0%,134.739,133.689,1.05,17.1
530,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.2%,137.439,138.189,0.75,24.0
531,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.7%,137.989,138.689,0.7,25.7
541,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,139.939,140.639,0.7,25.7
552,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.8%,140.739,141.389,0.65,27.7
558,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.2%,141.489,142.139,0.65,27.7
556,Public Transportation (Angkot),3,Medium passenger vehicle,normal,67.2%,142.489,141.789,0.7,25.7
559,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,142.638,143.339,0.7,25.7
565,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.1%,144.438,146.188,1.75,10.3
566,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,57.7%,147.438,148.238,0.8,22.5
581,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,153.038,153.938,0.9,20.0
582,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,154.538,155.287,0.75,24.0
586,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,75.1%,155.988,156.537,0.55,32.7
592,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,159.237,159.837,0.6,30.0
602,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.0%,162.587,161.637,0.95,18.9
606,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.5%,162.037,162.687,0.65,27.7
609,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.6%,163.837,162.887,0.95,18.9
614,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.2%,166.787,165.887,0.9,20.0
622,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,68.9%,171.836,168.087,3.75,4.8
624,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.8%,170.486,170.936,0.45,40.0
633,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,47.5%,172.386,173.936,1.55,11.6
642,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,174.986,175.836,0.85,21.2
651,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,176.236,176.986,0.75,24.0
641,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.6%,177.586,179.536,1.95,9.2
678,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,184.185,184.885,0.7,25.7
40,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,195.384,196.284,0.9,20.0
84,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,198.034,198.734,0.7,25.7
117,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,91.5%,201.234,201.834,0.6,30.0
232,Car / Sedan,2,Sedan / jeep / station wagon,normal,46.6%,254.78,253.83,0.95,18.9
305,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.8%,254.63,255.28,0.65,27.7
276,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.5%,256.279,255.28,1.0,18.0
354,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,81.0%,258.129,257.179,0.95,18.9
245,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.7%,272.878,261.479,11.399,1.6
2,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,264.979,265.529,0.55,32.7
60,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,265.929,266.529,0.6,30.0
112,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,266.929,267.529,0.6,30.0
272,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,273.678,274.478,0.8,22.5
513,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,276.878,277.528,0.65,27.7
604,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.3%,278.628,279.378,0.75,24.0
854,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.0%,282.127,282.877,0.75,24.0
984,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,283.877,284.627,0.75,24.0
1378,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,93.9%,290.227,290.877,0.65,27.7
1564,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.6%,292.577,293.276,0.7,25.7
2162,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.2%,302.076,302.576,0.5,36.0
2219,Car / Sedan,2,Sedan / jeep / station wagon,opposite,54.2%,303.126,303.876,0.75,24.0
2530,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,307.275,308.125,0.85,21.2
2537,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,307.375,308.125,0.75,24.0
2573,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,307.675,308.575,0.9,20.0
2688,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,309.675,310.275,0.6,30.0
2713,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,310.275,310.825,0.55,32.7
2866,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,313.675,315.625,1.95,9.2
3080,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,316.475,317.175,0.7,25.7
3147,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,317.675,318.324,0.65,27.7
3247,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,318.974,319.724,0.75,24.0
3293,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,319.824,320.474,0.65,27.7
3460,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.2%,322.824,323.424,0.6,30.0
3580,Car / Sedan,2,Sedan / jeep / station wagon,opposite,81.7%,324.974,325.774,0.8,22.5
3729,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.8%,327.224,328.024,0.8,22.5
3756,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,328.524,330.224,1.7,10.6
3905,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,329.623,330.423,0.8,22.5
4380,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,70.2%,337.423,336.673,0.75,24.0
4455,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.7%,338.823,338.123,0.7,25.7
4597,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,339.723,340.423,0.7,25.7
4558,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,84.8%,340.823,340.123,0.7,25.7
4943,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.6%,346.272,345.472,0.8,22.5
5074,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.8%,348.572,347.322,1.25,14.4
