track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
3,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,0.35,1.45,1.1,16.4
1,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,1.2,3.45,2.25,8.0
62,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,1.4,2.5,1.1,16.4
65,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,2.3,3.2,0.9,20.0
16,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,44.1%,5.45,2.35,3.1,5.8
149,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.1%,3.25,4.7,1.45,12.4
21,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,3.35,5.45,2.1,8.6
157,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,3.45,4.4,0.95,18.9
217,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.6%,3.95,5.05,1.1,16.4
275,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,91.9%,5.6,7.5,1.9,9.5
332,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.4%,5.65,6.8,1.15,15.7
369,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,6.0,7.2,1.2,15.0
320,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,6.9,8.9,2.0,9.0
501,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.0%,6.95,7.95,1.0,18.0
513,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,7.4,8.75,1.35,13.3
551,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.4%,8.05,9.149,1.1,16.4
510,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,8.95,10.85,1.9,9.5
684,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,9.55,10.95,1.4,12.9
710,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,9.95,10.899,0.95,18.9
703,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,10.999,12.799,1.8,10.0
858,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,11.349,12.499,1.15,15.7
922,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,12.499,13.649,1.15,15.7
1021,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,13.449,14.549,1.1,16.4
1091,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,14.049,15.499,1.45,12.4
1133,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.7%,14.149,15.549,1.4,12.9
1061,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,14.249,15.299,1.05,17.1
1126,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,14.849,16.349,1.5,12.0
1122,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,15.399,17.049,1.65,10.9
1183,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,54.2%,15.399,16.699,1.3,13.8
1288,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,16.049,17.249,1.2,15.0
1350,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,17.249,18.549,1.3,13.8
1429,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,17.899,19.199,1.3,13.8
1503,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.2%,18.349,20.099,1.75,10.3
1594,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,19.149,20.349,1.2,15.0
1676,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,20.199,21.199,1.0,18.0
1689,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,41.1%,24.349,20.949,3.4,5.3
1773,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.4%,20.999,21.999,1.0,18.0
1765,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.3%,21.099,22.149,1.05,17.1
1853,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,21.849,22.899,1.05,17.1
1774,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,69.5%,23.649,21.949,1.7,10.6
1602,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.5%,21.999,23.799,1.8,10.0
1829,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,66.5%,25.249,22.249,3.0,6.0
1883,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,22.349,23.399,1.05,17.1
2084,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.6%,26.099,24.399,1.7,10.6
2083,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,24.799,26.249,1.45,12.4
2177,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,71.5%,25.799,27.149,1.35,13.3
2162,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,25.949,27.449,1.5,12.0
2212,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,26.099,27.249,1.15,15.7
2261,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,26.699,27.849,1.15,15.7
2274,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,75.1%,27.749,29.299,1.55,11.6
2381,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,28.099,30.099,2.0,9.0
2437,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,82.7%,28.199,31.049,2.85,6.3
2348,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.1%,28.449,30.448,2.0,9.0
2412,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.9%,28.949,30.349,1.4,12.9
2518,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,29.599,31.348,1.75,10.3
2512,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,29.648,31.148,1.5,12.0
2530,Car / Sedan,2,Sedan / jeep / station wagon,normal,40.3%,32.648,30.299,2.35,7.7
2599,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.6%,30.648,32.398,1.75,10.3
2768,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.1%,32.498,33.798,1.3,13.8
2800,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,32.698,35.098,2.4,7.5
2799,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,67.2%,33.348,34.798,1.45,12.4
2902,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,33.998,35.998,2.0,9.0
2895,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.4%,38.248,34.748,3.5,5.1
3077,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.4%,36.248,40.098,3.85,4.7
3043,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,36.348,38.648,2.3,7.8
3199,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,36.648,38.148,1.5,12.0
3146,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,37.148,39.448,2.3,7.8
3200,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,37.348,39.098,1.75,10.3
3405,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.5%,38.748,40.698,1.95,9.2
3298,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.6%,39.298,42.948,3.65,4.9
3468,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.3%,39.748,41.448,1.7,10.6
3612,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.7%,41.698,44.348,2.65,6.8
3681,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.1%,45.448,41.948,3.5,5.1
3886,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,79.1%,48.148,43.448,4.7,3.8
3739,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.8%,43.498,45.248,1.75,10.3
3795,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,43.498,45.398,1.9,9.5
3937,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,60.8%,44.148,45.598,1.45,12.4
3923,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,44.298,46.298,2.0,9.0
3997,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.4%,44.998,46.848,1.85,9.7
4008,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,45.148,46.948,1.8,10.0
4083,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,45.748,47.398,1.65,10.9
3924,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.8%,46.448,48.798,2.35,7.7
4203,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,43.5%,51.547,46.548,5.0,3.6
4137,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.2%,47.048,48.448,1.4,12.9
4251,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,47.548,48.948,1.4,12.9
4261,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.1%,48.048,49.498,1.45,12.4
4370,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.0%,48.198,49.547,1.35,13.3
4044,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,48.248,50.197,1.95,9.2
4489,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.6%,49.348,50.498,1.15,15.7
4274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,49.597,51.847,2.25,8.0
4473,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.5%,50.347,51.547,1.2,15.0
4565,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.3%,50.597,52.247,1.65,10.9
4702,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,64.6%,51.497,52.647,1.15,15.7
4722,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,51.547,52.847,1.3,13.8
4554,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.6%,51.647,53.647,2.0,9.0
4784,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.0%,52.247,53.597,1.35,13.3
4767,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,52.747,54.697,1.95,9.2
4860,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,52.947,54.297,1.35,13.3
4901,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.6%,53.047,54.197,1.15,15.7
4819,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,69.3%,54.197,53.147,1.05,17.1
4835,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,76.9%,55.797,53.397,2.4,7.5
4971,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.2%,54.147,55.297,1.15,15.7
4980,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,54.347,55.547,1.2,15.0
5038,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,55.997,57.697,1.7,10.6
5239,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.4%,56.597,57.497,0.9,20.0
5259,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.9%,59.747,58.197,1.55,11.6
5409,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,58.297,59.247,0.95,18.9
5335,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,58.847,60.547,1.7,10.6
5391,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.2%,61.797,60.247,1.55,11.6
5608,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,61.147,62.247,1.1,16.4
5629,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.7%,62.897,61.547,1.35,13.3
5684,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,46.1%,65.347,62.747,2.6,6.9
5698,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,63.047,64.047,1.0,18.0
5678,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,75.2%,66.997,63.647,3.35,5.4
5858,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,64.797,65.747,0.95,18.9
5752,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.1%,67.297,64.947,2.35,7.7
6007,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.2%,67.097,68.347,1.25,14.4
6074,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,67.647,69.047,1.4,12.9
5931,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.8%,71.447,67.747,3.7,4.9
6110,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.8%,67.947,69.047,1.1,16.4
6144,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,68.397,69.597,1.2,15.0
