track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
12,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.5%,0.167,0.933,0.767,23.5
15,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,76.1%,0.267,1.5,1.233,14.6
3,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,74.5%,3.867,1.233,2.633,6.8
5,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.4%,2.0,2.767,0.767,23.5
2,Car / Sedan,2,Sedan / jeep / station wagon,normal,86.2%,3.333,4.1,0.767,23.5
13,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.1%,3.8,4.567,0.767,23.5
33,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.2%,5.033,6.333,1.3,13.8
69,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.0%,6.467,7.267,0.8,22.5
114,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,80.3%,7.6,8.367,0.767,23.5
101,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.2%,8.267,9.033,0.767,23.5
96,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,84.1%,9.433,8.367,1.067,16.9
133,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.8%,11.7,9.067,2.633,6.8
158,Car / Sedan,2,Sedan / jeep / station wagon,normal,65.0%,9.2,10.0,0.8,22.5
195,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,89.9%,10.033,10.8,0.767,23.5
216,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.4%,10.267,11.033,0.767,23.5
274,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.4%,12.267,13.033,0.767,23.5
267,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.8%,13.233,12.467,0.767,23.5
236,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,84.0%,14.3,13.0,1.3,13.8
299,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.8%,13.633,14.4,0.767,23.5
322,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.6%,15.7,15.033,0.667,27.0
345,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.2%,15.4,16.167,0.767,23.5
315,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.0%,18.1,15.467,2.633,6.8
387,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.8%,16.633,17.4,0.767,23.5
406,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.9%,18.233,18.967,0.733,24.5
438,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.2%,18.933,19.7,0.767,23.5
449,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.5%,19.533,20.3,0.767,23.5
482,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.5%,20.2,20.967,0.767,23.5
499,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.5%,22.7,22.0,0.7,25.7
