track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
60,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,75.2%,3.5,2.3,1.2,15.0
338,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,4.15,5.15,1.0,18.0
1020,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.8%,14.149,12.899,1.25,14.4
1137,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.7%,13.649,14.249,0.6,30.0
1401,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,78.6%,17.049,15.949,1.1,16.4
1534,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,17.699,18.299,0.6,30.0
1700,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.2%,19.149,19.949,0.8,22.5
1675,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,19.249,20.199,0.95,18.9
1899,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,57.2%,22.749,21.749,1.0,18.0
2809,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.4%,32.748,33.748,1.0,18.0
2997,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,47.1%,33.548,34.798,1.25,14.4
3274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,35.998,36.498,0.5,36.0
3604,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,39.098,39.648,0.55,32.7
3676,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,39.698,40.198,0.5,36.0
3700,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,40.448,41.248,0.8,22.5
3792,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.9%,41.048,41.598,0.55,32.7
3842,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,41.548,42.198,0.65,27.7
3793,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,41.698,42.248,0.55,32.7
3843,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,41.798,42.398,0.6,30.0
3953,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.3%,42.548,43.197,0.65,27.7
4146,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,44.497,45.047,0.55,32.7
4145,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,44.547,45.147,0.6,30.0
4294,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,45.697,46.347,0.65,27.7
4372,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,46.397,47.047,0.65,27.7
4434,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,47.047,47.847,0.8,22.5
4564,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,48.297,48.997,0.7,25.7
4611,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.7%,48.897,49.597,0.7,25.7
4695,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.8%,49.297,49.847,0.55,32.7
4826,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.3%,50.597,51.147,0.55,32.7
4798,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,69.0%,51.147,52.697,1.55,11.6
4888,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.0%,51.347,51.947,0.6,30.0
4954,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.7%,52.497,53.047,0.55,32.7
4940,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,53.997,54.747,0.75,24.0
5167,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,54.797,55.397,0.6,30.0
5300,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,55.397,56.197,0.8,22.5
5285,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,44.0%,55.547,56.897,1.35,13.3
5430,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,56.497,57.147,0.65,27.7
5429,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,56.797,57.447,0.65,27.7
5517,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,57.747,58.597,0.85,21.2
5575,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,58.547,59.347,0.8,22.5
5622,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,59.397,60.397,1.0,18.0
5635,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.7%,59.747,60.596,0.85,21.2
5692,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.5%,60.447,60.996,0.55,32.7
5800,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,61.697,62.646,0.95,18.9
5793,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,61.746,62.646,0.9,20.0
5860,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,62.646,63.596,0.95,18.9
5967,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.1%,63.796,64.496,0.7,25.7
6009,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,64.746,65.646,0.9,20.0
6051,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.4%,64.746,65.646,0.9,20.0
6210,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,65.996,66.796,0.8,22.5
6264,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,66.396,67.046,0.65,27.7
6302,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,66.846,67.496,0.65,27.7
6350,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,67.196,67.796,0.6,30.0
6321,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.6%,67.396,68.196,0.8,22.5
6463,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.4%,68.096,68.646,0.55,32.7
6523,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.8%,68.596,69.196,0.6,30.0
6527,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.6%,69.196,70.146,0.95,18.9
6605,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,69.646,70.596,0.95,18.9
6666,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.5%,70.396,71.096,0.7,25.7
6772,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.4%,72.046,72.896,0.85,21.2
7014,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.9%,74.446,75.496,1.05,17.1
7073,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.8%,75.046,75.846,0.8,22.5
7341,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.8%,76.946,77.695,0.75,24.0
7512,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,78.596,79.145,0.55,32.7
7498,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,79.046,79.745,0.7,25.7
7992,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.6%,82.545,83.145,0.6,30.0
8048,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.8%,83.145,83.795,0.65,27.7
8166,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,84.445,85.445,1.0,18.0
8226,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.4%,84.945,85.745,0.8,22.5
8400,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,86.345,87.045,0.7,25.7
8611,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.8%,88.945,89.795,0.85,21.2
