track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
16,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.0%,7.05,7.649,0.6,30.0
2,Public Transportation (Angkot),3,Medium passenger vehicle,normal,69.8%,9.499,7.25,2.25,8.0
25,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,14.699,15.249,0.55,32.7
48,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,17.699,18.599,0.9,20.0
65,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.5%,20.299,19.499,0.8,22.5
168,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,31.898,32.598,0.7,25.7
300,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,93.4%,46.497,47.197,0.7,25.7
327,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,47.846,48.496,0.65,27.7
469,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,77.5%,59.096,58.096,1.0,18.0
548,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.6%,63.845,63.045,0.8,22.5
596,Car / Sedan,2,Sedan / jeep / station wagon,normal,66.6%,67.295,66.645,0.65,27.7
609,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,67.595,68.245,0.65,27.7
656,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,65.4%,74.145,73.245,0.9,20.0
729,Public Transportation (Angkot),3,Medium passenger vehicle,normal,78.8%,81.294,79.994,1.3,13.8
744,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,81.8%,82.694,81.794,0.9,20.0
759,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.5%,83.294,83.944,0.65,27.7
809,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,76.8%,93.793,92.643,1.15,15.7
823,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,83.7%,96.243,94.643,1.6,11.3
1091,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.9%,116.142,115.292,0.85,21.2
1121,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.5%,118.341,117.541,0.8,22.5
1143,Car / Sedan,2,Sedan / jeep / station wagon,normal,44.5%,120.591,119.941,0.65,27.7
1330,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.5%,134.79,135.29,0.5,36.0
1370,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.8%,137.74,138.39,0.65,27.7
1403,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,140.59,141.29,0.7,25.7
1450,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,145.689,146.339,0.65,27.7
