track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
22,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,89.2%,2.867,1.633,1.233,14.6
8,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,82.5%,3.6,2.233,1.367,13.2
40,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.7%,3.2,3.767,0.567,31.8
61,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,63.2%,6.3,5.1,1.2,15.0
141,Car / Sedan,2,Sedan / jeep / station wagon,normal,84.2%,6.167,7.067,0.9,20.0
131,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,83.6%,8.6,9.7,1.1,16.4
348,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,77.1%,16.467,14.767,1.7,10.6
428,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.6%,18.167,17.4,0.767,23.5
496,Car / Sedan,2,Sedan / jeep / station wagon,normal,72.7%,19.5,20.2,0.7,25.7
518,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.4%,19.867,20.767,0.9,20.0
570,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.4%,21.467,22.367,0.9,20.0
599,Bus,5,Bus,normal,28.2%,23.067,27.2,4.133,4.4
795,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.9%,29.3,30.2,0.9,20.0
799,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.2%,31.4,29.767,1.633,11.0
806,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.0%,31.167,30.3,0.867,20.8
916,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.1%,36.567,35.6,0.967,18.6
903,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,81.9%,37.967,36.6,1.367,13.2
966,Car / Sedan,2,Sedan / jeep / station wagon,normal,70.1%,38.3,39.133,0.833,21.6
1050,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.3%,39.533,40.433,0.9,20.0
1025,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.4%,41.4,39.767,1.633,11.0
1093,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.4%,43.733,42.1,1.633,11.0
1148,Car / Sedan,2,Sedan / jeep / station wagon,normal,74.1%,43.4,44.133,0.733,24.5
1171,Car / Sedan,2,Sedan / jeep / station wagon,normal,77.0%,43.4,44.3,0.9,20.0
1151,Public Transportation (Angkot),3,Medium passenger vehicle,normal,59.4%,43.567,44.4,0.833,21.6
1374,Car / Sedan,2,Sedan / jeep / station wagon,normal,79.6%,51.433,52.6,1.167,15.4
1399,Pickup / Micro Truck,4,Pickup / micro truck / delivery,normal,84.1%,52.833,54.033,1.2,15.0
1446,Car / Sedan,2,Sedan / jeep / station wagon,normal,85.0%,53.967,54.767,0.8,22.5
1453,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.5%,54.3,55.0,0.7,25.7
1484,Car / Sedan,2,Sedan / jeep / station wagon,normal,67.1%,55.5,56.333,0.833,21.6
1486,Car / Sedan,2,Sedan / jeep / station wagon,normal,73.6%,55.933,56.567,0.633,28.4
1458,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,79.2%,56.033,57.333,1.3,13.8
1533,Car / Sedan,2,Sedan / jeep / station wagon,normal,35.2%,57.2,57.933,0.733,24.5
1554,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,92.5%,59.8,58.967,0.833,21.6
1577,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.4%,59.0,59.733,0.733,24.5
1600,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.8%,59.8,60.767,0.967,18.6
1602,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.9%,61.367,60.7,0.667,27.0
1604,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,82.0%,60.833,61.933,1.1,16.4
1631,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.8%,61.3,62.3,1.0,18.0
1663,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.0%,62.4,63.1,0.7,25.7
1684,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.2%,63.7,62.7,1.0,18.0
1745,Public Transportation (Angkot),3,Medium passenger vehicle,normal,37.1%,64.633,65.333,0.7,25.7
1758,Car / Sedan,2,Sedan / jeep / station wagon,opposite,81.4%,66.633,65.633,1.0,18.0
1753,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.2%,68.4,66.767,1.633,11.0
1811,Bus,5,Bus,opposite,91.5%,68.533,67.733,0.8,22.5
1851,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.0%,69.633,68.967,0.667,27.0
1930,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.3%,72.667,71.033,1.633,11.0
2078,Car / Sedan,2,Sedan / jeep / station wagon,normal,90.0%,74.867,75.767,0.9,20.0
2091,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.0%,77.767,76.8,0.967,18.6
2202,Car / Sedan,2,Sedan / jeep / station wagon,normal,53.7%,79.867,80.667,0.8,22.5
2220,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,88.0%,81.767,80.9,0.867,20.8
2100,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,51.2%,82.033,83.4,1.367,13.2
2325,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.7%,82.267,82.967,0.7,25.7
2434,Public Transportation (Angkot),3,Medium passenger vehicle,normal,84.4%,85.7,86.667,0.967,18.6
2357,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.3%,88.167,86.0,2.167,8.3
2538,Bus,5,Bus,normal,29.7%,89.067,89.867,0.8,22.5
2625,Bus,5,Bus,normal,67.0%,91.367,92.3,0.933,19.3
2536,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,89.0%,94.567,91.767,2.8,6.4
2646,Car / Sedan,2,Sedan / jeep / station wagon,normal,68.0%,92.533,93.267,0.733,24.5
2676,Car / Sedan,2,Sedan / jeep / station wagon,normal,57.3%,93.067,94.167,1.1,16.4
2683,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.8%,94.333,95.233,0.9,20.0
2758,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,78.5%,99.2,97.567,1.633,11.0
2825,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,90.1%,99.667,98.033,1.633,11.0
2836,Car / Sedan,2,Sedan / jeep / station wagon,normal,78.6%,98.167,99.0,0.833,21.6
2831,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.3%,100.1,98.467,1.633,11.0
2967,Car / Sedan,2,Sedan / jeep / station wagon,normal,82.4%,101.167,101.867,0.7,25.7
2969,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.0%,102.967,101.567,1.4,12.9
2986,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.5%,103.7,102.067,1.633,11.0
3008,Car / Sedan,2,Sedan / jeep / station wagon,normal,45.9%,102.333,103.267,0.933,19.3
3007,Car / Sedan,2,Sedan / jeep / station wagon,opposite,70.2%,104.6,102.967,1.633,11.0
3141,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.7%,106.033,106.933,0.9,20.0
3142,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.9%,106.133,107.033,0.9,20.0
3224,Car / Sedan,2,Sedan / jeep / station wagon,normal,76.6%,109.3,109.933,0.633,28.4
3257,Car / Sedan,2,Sedan / jeep / station wagon,normal,63.7%,109.867,110.7,0.833,21.6
3242,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.9%,111.4,110.333,1.067,16.9
3302,Car / Sedan,2,Sedan / jeep / station wagon,normal,88.7%,111.433,112.333,0.9,20.0
3341,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,90.4%,115.5,113.867,1.633,11.0
3357,Car / Sedan,2,Sedan / jeep / station wagon,opposite,73.4%,115.5,113.867,1.633,11.0
3343,Bus,5,Bus,normal,89.3%,115.033,115.833,0.8,22.5
3446,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,85.1%,117.433,118.5,1.067,16.9
3518,Public Transportation (Angkot),3,Medium passenger vehicle,normal,83.9%,118.733,119.567,0.833,21.6
3519,Car / Sedan,2,Sedan / jeep / station wagon,normal,81.9%,118.833,119.633,0.8,22.5
3561,Car / Sedan,2,Sedan / jeep / station wagon,normal,64.0%,119.933,120.733,0.8,22.5
