track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
184,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,64.4%,29.148,29.948,0.8,22.5
374,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.8%,50.646,49.396,1.25,14.4
496,Car / Sedan,2,Sedan / jeep / station wagon,normal,80.0%,59.746,59.046,0.7,25.7
566,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,84.5%,65.695,64.645,1.05,17.1
919,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.9%,102.543,103.093,0.55,32.7
1000,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.0%,107.192,106.142,1.05,17.1
1019,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.5%,107.892,108.442,0.55,32.7
1023,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,108.092,108.692,0.6,30.0
1026,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,108.442,109.042,0.6,30.0
1036,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.5%,110.992,111.442,0.45,40.0
1056,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.1%,112.692,113.142,0.45,40.0
1099,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.1%,119.841,120.641,0.8,22.5
1129,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,122.091,122.991,0.9,20.0
1210,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,78.8%,130.84,130.141,0.7,25.7
1229,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.3%,130.44,131.291,0.85,21.2
1274,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.2%,135.49,136.59,1.1,16.4
1356,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,142.04,142.54,0.5,36.0
1408,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,58.4%,147.839,149.239,1.4,12.9
1499,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,157.289,158.089,0.8,22.5
1618,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.4%,168.938,169.538,0.6,30.0
