sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,8,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,0.15,3,0.4336,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
2,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,0.25,5,0.8826,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
3,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,0.25,5,0.6155,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
4,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,0.6,12,0.933,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
5,47,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.6999,34,0.5749,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
6,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,1.7499,35,0.8055,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
7,8,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,normal,1.7499,35,0.8552,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
8,14,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,2.0499,41,0.7563,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
9,57,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,2.0999,42,0.5006,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
10,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,2.2999,46,0.898,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
11,53,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,2.4499,49,0.6143,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
12,153,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.2498,65,0.646,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
13,46,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.2998,66,0.8582,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
14,111,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.3498,67,0.8764,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
15,57,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,3.5998,72,0.8314,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
16,204,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.7498,75,0.8288,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
17,139,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,4.2498,85,0.9203,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
18,111,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.3998,88,0.8477,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
19,204,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.7998,96,0.733,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
20,307,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.2497,105,0.518,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
21,139,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,5.7497,115,0.9037,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
22,405,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,5.9997,120,0.8206,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
23,363,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,6.1997,124,0.9026,2b9ad6df-02e3-454a-9ab4-60a16ae5a6ab,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14bb2fdf-7cb1-4ae2-887f-7091c9a71831,ch01_00000000144000000.mp4,
