sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,3,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,0.4,12,0.4901,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
2,35,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.2667,98,0.8633,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
3,63,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,3.8333,115,0.8538,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
4,63,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,4.4333,133,0.3979,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
5,98,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,5.0667,152,0.8514,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
6,108,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,6.2333,187,0.8119,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
7,142,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,6.2333,187,0.7965,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
8,108,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,6.9667,209,0.4408,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
9,144,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,7.1667,215,0.8851,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
10,144,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,7.7333,232,0.6943,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
11,288,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,11.4667,344,0.687,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
12,330,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,11.9,357,0.4681,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
13,288,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,12.3,369,0.5053,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
14,364,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,13.7,411,0.8822,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
15,403,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,14.6667,440,0.547,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
16,403,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,15.1667,455,0.5326,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
17,415,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,16.3,489,0.4714,f561b8fc-5164-4d18-9876-546787d40a2e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,14cff5dc-73e0-4da7-ba74-f588f914d335,18.00 - 19.00.mp4,
