sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,37,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,8.5989,172,0.7562,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
2,66,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,9.6488,193,0.7519,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
3,118,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,15.0481,301,0.8836,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
4,118,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,15.6981,314,0.7794,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
5,132,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,16.5979,332,0.6571,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
6,15,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4pickupmicro,2,Line 2,opposite,20.7474,415,0.7853,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
7,34,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,21.4973,430,0.7918,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
8,34,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,22.4972,450,0.7828,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
9,51,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4pickupmicro,1,Line 1,opposite,22.7472,455,0.8849,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
10,51,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4pickupmicro,2,Line 2,opposite,23.3471,467,0.849,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
11,73,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4pickupmicro,1,Line 1,opposite,24.147,483,0.8883,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
12,73,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4pickupmicro,2,Line 2,opposite,24.8469,497,0.8491,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
13,94,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,25.4469,509,0.8679,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
14,94,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,26.1468,523,0.662,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
15,100,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,26.1968,524,0.7329,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
16,103,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,26.4467,529,0.872,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
17,100,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,27.0467,541,0.6746,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
18,103,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,27.0966,542,0.8603,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
19,129,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,27.9965,560,0.8736,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
20,145,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,28.4465,569,0.5526,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
21,129,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,28.7464,575,0.8016,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
22,151,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,28.8964,578,0.7275,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
23,163,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,29.4464,589,0.8621,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
24,191,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3ang_umum,1,Line 1,normal,29.9463,599,0.6589,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
25,147,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,29.9963,600,0.6021,9a43daf6-40d5-4754-b72b-d2e24af08e50,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,177caa89-e1f6-4b79-a432-4135c290d29c,ch01_00000000152000000.mp4,
