sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1,2,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,0.65,13,0.7561,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
2,5,bus,kelas 5 bus,large_bus,large bus,5b,Large bus,Kelas 5 Bus,1,Default Line,opposite,0.9,18,0.8933,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
3,800002,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,2.25,45,0.2645,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
4,21,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,3.4,68,0.9044,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
5,18,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,3.45,69,0.8327,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
6,25,truck,kelas 4 pickup,pickup_micro_delivery,pickup / micro truck / delivery vehicle,4,Pickup / micro truck / delivery,Kelas 4 Pickup,1,Default Line,opposite,5.0,100,0.9119,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
7,31,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,6.0,120,0.9229,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
8,34,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,7.9,158,0.9168,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
9,45,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,8.2,164,0.8635,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
10,48,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,9.05,181,0.8163,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
