sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,138,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,8.6667,260,0.5266,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
2,357,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,16.2333,487,0.4576,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
3,376,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,16.4667,494,0.6724,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
4,435,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,18.9667,569,0.4395,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
5,548,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,22.1,663,0.8283,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
6,950,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,39.2,1176,0.7916,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
7,1066,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,opposite,42.7667,1283,0.6656,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
8,1189,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,46.1,1383,0.8374,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
9,1318,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,51.2667,1538,0.511,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
10,1426,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,54.2667,1628,0.6225,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
11,1670,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,64.4333,1933,0.8176,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
12,1679,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,65.0667,1952,0.7165,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
13,1696,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,66.8667,2006,0.6461,142174c2-beba-409e-b25c-3c2882bce06f,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,20a73ac2-f227-44a5-9e29-bc90a26d22a2,19.00 - 20.00.mp4,
