sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.3998,28,0.4651,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
2,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.1496,63,0.6337,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
3,12,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.6495,93,0.7977,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
4,9,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,6.3993,128,0.8212,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
5,15,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,7.8491,157,0.6303,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
6,17,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,8.449,169,0.7529,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
7,20,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,8.849,177,0.8823,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
8,10,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,9.4489,189,0.7875,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
9,20,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,9.5489,191,0.851,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
10,37,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,15.0483,301,0.8284,793c17b6-7366-4af5-86d0-d30e829b9950,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,23b4dea3-82de-471a-b623-b3747f56a73a,ch01_00000000118000100.mp4,
