sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,2,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,0.35,7,0.9003,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
2,1,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1.3999,28,0.9259,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
3,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.1498,43,0.7724,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
4,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.4497,69,0.8085,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
5,35,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.5497,71,0.6299,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
6,29,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.9997,80,0.814,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
7,25,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,4.1997,84,0.8375,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
8,8,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.2497,85,0.859,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
9,20,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.3996,88,0.8814,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
10,28,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.4496,89,0.8466,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
11,5,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,4.6996,94,0.8977,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
12,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.3496,107,0.8738,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
13,20,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.3996,108,0.8519,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
14,21,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.3996,108,0.7801,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
15,28,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.7495,115,0.8228,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
16,35,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.7995,116,0.7305,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
17,16,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,6.5495,131,0.9157,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
18,44,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,6.6994,134,0.9337,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
19,5,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,7.3494,147,0.9078,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
20,44,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,8.1993,164,0.9209,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
21,91,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,8.6993,174,0.8992,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
22,91,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,9.2992,186,0.8729,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
23,194,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,10.0492,201,0.9373,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
24,99,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,10.1492,203,0.7832,8c8f69f3-2f50-416a-9ed7-4211c4418610,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,2b995401-a9ed-4aa3-9138-c3fbc921ae40,ch01_00000000139000000.mp4,
